district,平均单价,中位数单价,单价标准差,成交量,平均总价,中位数总价,平均面积
西城,97029.0,98568.0,25203.0,8700,638.0,634.0,66.0
东城,89417.0,87349.0,21304.0,8593,644.0,625.0,73.0
海淀,76324.0,75125.0,23190.0,6502,605.0,500.0,78.0
延庆,49967.0,42307.0,25377.0,1827,408.0,355.0,84.0
丰台,46518.0,45881.0,13008.0,7439,368.0,324.0,77.0
昌平,35745.0,35401.0,9573.0,6979,327.0,320.0,92.0
通州,32255.0,31421.0,8897.0,5898,285.0,259.0,88.0
大兴,31916.0,30842.0,10486.0,6185,289.0,245.0,88.0
门头沟,27282.0,26240.0,8009.0,6519,234.0,202.0,81.0
房山,22676.0,22454.0,8060.0,3501,200.0,182.0,86.0
怀柔,20740.0,21190.0,5923.0,4391,196.0,170.0,91.0
平谷,20173.0,21333.0,2784.0,371,169.0,149.0,84.0
密云,13767.0,12666.0,5025.0,4514,117.0,89.0,78.0
朝阳,13248.0,11628.0,4987.0,14034,107.0,50.0,74.0
