house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
580858fbeedc7d69,朝阳雅筑 3室2厅 133.91平米,朝阳,朝阳-朝青,3室2厅,133.91㎡,共28层,南北,626万,,2025-11-21
580858fbeedc7d69,朝阳雅筑 2室1厅 104.11平米,朝阳,朝阳-朝青,2室1厅,104.11㎡,共24层,南,434万,,2025-11-01
580858fbeedc7d69,朝阳雅筑 3室2厅 136.09平米,朝阳,朝阳-朝青,3室2厅,136.09㎡,共24层,南,719万,,2024-08-04
580858fbeedc7d69,朝阳雅筑 3室2厅 124.88平米,朝阳,朝阳-朝青,3室2厅,124.88㎡,共21层,南,675万,,2024-08-03
580858fbeedc7d69,朝阳雅筑 3室1厅 133.91平米,朝阳,朝阳-朝青,3室1厅,133.91㎡,共28层,南,754万,,2024-07-22
580858fbeedc7d69,朝阳雅筑 3室1厅 134.12平米,朝阳,朝阳-朝青,3室1厅,134.12㎡,共24层,南,739万,,2024-05-27
580858fbeedc7d69,朝阳雅筑 3室2厅 130.71平米,朝阳,朝阳-朝青,3室2厅,130.71㎡,共16层,南,754万,,2023-12-17
580858fbeedc7d69,朝阳雅筑 3室1厅 134.78平米,朝阳,朝阳-朝青,3室1厅,134.78㎡,共24层,南,810万,,2023-11-21
580858fbeedc7d69,朝阳雅筑 2室1厅 93.11平米,朝阳,朝阳-朝青,2室1厅,93.11㎡,共28层,西,620万,,2023-09-25
580858fbeedc7d69,朝阳雅筑 3室2厅 133.06平米,朝阳,朝阳-朝青,3室2厅,133.06㎡,共24层,西南,785万,,2023-09-02
580858fbeedc7d69,朝阳雅筑 3室1厅 130.71平米,朝阳,朝阳-朝青,3室1厅,130.71㎡,共16层,南,795万,,2023-05-06
580858fbeedc7d69,朝阳雅筑 2室1厅 104.11平米,朝阳,朝阳-朝青,2室1厅,104.11㎡,共24层,东南,669万,,2023-04-02
580858fbeedc7d69,朝阳雅筑 3室1厅 133.75平米,朝阳,朝阳-朝青,3室1厅,133.75㎡,共24层,东南,835万,,2023-03-03
580858fbeedc7d69,朝阳雅筑 3室2厅 136.09平米,朝阳,朝阳-朝青,3室2厅,136.09㎡,共24层,西南,829万,,2023-03-02
580858fbeedc7d69,朝阳雅筑 3室2厅 124.88平米,朝阳,朝阳-朝青,3室2厅,124.88㎡,共21层,南,819万,,2023-02-18
580858fbeedc7d69,朝阳雅筑 3室2厅 134.78平米,朝阳,朝阳-朝青,3室2厅,134.78㎡,共24层,南,865万,,2023-02-07
580858fbeedc7d69,朝阳雅筑 2室1厅 93.28平米,朝阳,朝阳-朝青,2室1厅,93.28㎡,共24层,东,604万,,2023-02-04
e6fd7a18e4995158,安贞西里 2室1厅 57.67平米,朝阳,朝阳-安贞,2室1厅,57.67㎡,共16层,西,3万,,2025-11-29
e6fd7a18e4995158,安贞西里 3室1厅 78.76平米,朝阳,朝阳-安贞,3室1厅,78.76㎡,共24层,西,607万,,2025-11-21
e6fd7a18e4995158,安贞西里 1室1厅 38.39平米,朝阳,朝阳-安贞,1室1厅,38.39㎡,共6层,西,218万,,2025-11-18
e6fd7a18e4995158,安贞西里 2室1厅 57.53平米,朝阳,朝阳-安贞,2室1厅,57.53㎡,共6层,西,301万,,2025-11-13
e6fd7a18e4995158,安贞西里 2室1厅 56.66平米,朝阳,朝阳-安贞,2室1厅,56.66㎡,共6层,西,278万,,2025-11-13
e6fd7a18e4995158,安贞西里 2室1厅 56.86平米,朝阳,朝阳-安贞,2室1厅,56.86㎡,共6层,西,312万,,2025-11-11
e6fd7a18e4995158,安贞西里 3室1厅 79.34平米,朝阳,朝阳-安贞,3室1厅,79.34㎡,共24层,西,568万,,2025-11-08
e6fd7a18e4995158,安贞西里 2室1厅 54.41平米,朝阳,朝阳-安贞,2室1厅,54.41㎡,共16层,西,317万,,2025-11-04
e6fd7a18e4995158,安贞西里 2室1厅 63.93平米,朝阳,朝阳-安贞,2室1厅,63.93㎡,共16层,西,418万,,2025-11-03
e6fd7a18e4995158,安贞西里 3室1厅 73.91平米,朝阳,朝阳-安贞,3室1厅,73.91㎡,共6层,西,400万,,2025-10-26
5db5a04cfd8d7cf5,金蝉北里21号院 2室1厅 64.77平米,朝阳,朝阳-垡头,2室1厅,64.77㎡,共6层,北,160万,,2025-11-21
5db5a04cfd8d7cf5,金蝉北里21号院 2室1厅 58.84平米,朝阳,朝阳-垡头,2室1厅,58.84㎡,共6层,北,195万,,2024-03-03
5db5a04cfd8d7cf5,金蝉北里21号院 2室1厅 59.89平米,朝阳,朝阳-垡头,2室1厅,59.89㎡,共6层,北,214万,,2024-01-29
5db5a04cfd8d7cf5,金蝉北里21号院 2室1厅 59.44平米,朝阳,朝阳-垡头,2室1厅,59.44㎡,共6层,北,249万,,2023-09-05
5db5a04cfd8d7cf5,金蝉北里21号院 2室1厅 59.44平米,朝阳,朝阳-垡头,2室1厅,59.44㎡,共6层,北,244万,,2023-07-09
5db5a04cfd8d7cf5,金蝉北里21号院 2室1厅 59.44平米,朝阳,朝阳-垡头,2室1厅,59.44㎡,共6层,北,260万,,2023-07-05
5db5a04cfd8d7cf5,金蝉北里21号院 2室1厅 59平米,朝阳,朝阳-垡头,2室1厅,59㎡,共6层,北,154万,,2023-04-09
