house_id,title,district,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
441037071a0fa56a,永乐东区 3室1厅 73.77平米,石景山,3室1厅,73.77㎡,共18层,东,334万,,2025-11-16
441037071a0fa56a,永乐东区 2室1厅 54.59平米,石景山,2室1厅,54.59㎡,共6层,东,168万,,2025-11-14
441037071a0fa56a,永乐东区 2室1厅 63.9平米,石景山,2室1厅,63.9㎡,共18层,东,226万,,2025-11-09
441037071a0fa56a,永乐东区 2室1厅 54.31平米,石景山,2室1厅,54.31㎡,共6层,东,163万,,2025-11-02
9645d0ce7f1475f9,中海长安雅苑 2室1厅 74.85平米,石景山,2室1厅,74.85㎡,共20层,南,291万,,2025-11-16
9645d0ce7f1475f9,中海长安雅苑 2室1厅 78.74平米,石景山,2室1厅,78.74㎡,共20层,南北,390万,,2025-10-25
9645d0ce7f1475f9,中海长安雅苑 2室1厅 78.44平米,石景山,2室1厅,78.44㎡,共12层,南,384万,,2024-10-26
9645d0ce7f1475f9,中海长安雅苑 2室1厅 71.12平米,石景山,2室1厅,71.12㎡,共22层,南,324万,,2024-10-25
9645d0ce7f1475f9,中海长安雅苑 2室1厅 78.74平米,石景山,2室1厅,78.74㎡,共18层,南,384万,,2024-10-17
2222b30550c334ca,地铁古城家园 2室1厅 88.29平米,石景山,2室1厅,88.29㎡,共25层,南,247万,,2025-11-16
2222b30550c334ca,地铁古城家园 3室1厅 103.4平米,石景山,3室1厅,103.4㎡,共24层,西南,339万,,2024-09-22
2222b30550c334ca,地铁古城家园 2室1厅 79.78平米,石景山,2室1厅,79.78㎡,共24层,东南,284万,,2024-08-15
2222b30550c334ca,地铁古城家园 3室2厅 111.74平米,石景山,3室2厅,111.74㎡,共24层,东,360万,,2024-07-23
2222b30550c334ca,地铁古城家园 2室1厅 90.59平米,石景山,2室1厅,90.59㎡,共25层,西南,309万,,2024-07-23
2222b30550c334ca,地铁古城家园 2室2厅 88.25平米,石景山,2室2厅,88.25㎡,共25层,南,324万,,2024-07-07
2222b30550c334ca,地铁古城家园 1室1厅 62.84平米,石景山,1室1厅,62.84㎡,共25层,南,215万,,2024-06-16
2222b30550c334ca,地铁古城家园 3室2厅 103.38平米,石景山,3室2厅,103.38㎡,共24层,东北,320万,,2024-06-15
2222b30550c334ca,地铁古城家园 1室1厅 62.84平米,石景山,1室1厅,62.84㎡,共25层,南,220万,,2024-05-08
2222b30550c334ca,地铁古城家园 2室1厅 85.18平米,石景山,2室1厅,85.18㎡,共24层,西南,349万,,2023-12-16
2222b30550c334ca,地铁古城家园 3室1厅 104平米,石景山,3室1厅,104㎡,共24层,西北,409万,,2023-12-11
2222b30550c334ca,地铁古城家园 2室1厅 86.75平米,石景山,2室1厅,86.75㎡,共25层,西南,369万,,2023-10-23
2222b30550c334ca,地铁古城家园 3室2厅 114.93平米,石景山,3室2厅,114.93㎡,共24层,南,444万,,2023-10-22
0cfc37334dcace14,中海金玺公馆 2室1厅 89.5平米,石景山,2室1厅,89.5㎡,共20层,南,448万,,2025-11-16
0cfc37334dcace14,中海金玺公馆 2室1厅 71.85平米,石景山,2室1厅,71.85㎡,共20层,南,369万,,2024-08-28
0cfc37334dcace14,中海金玺公馆 4室2厅 134.14平米,石景山,4室2厅,134.14㎡,共20层,南,790万,,2024-07-16
0cfc37334dcace14,中海金玺公馆 2室1厅 79.05平米,石景山,2室1厅,79.05㎡,共20层,南,424万,,2024-06-23
0cfc37334dcace14,中海金玺公馆 2室1厅 87.18平米,石景山,2室1厅,87.18㎡,共20层,南,625万,,2024-01-13
0cfc37334dcace14,中海金玺公馆 2室1厅 71.85平米,石景山,2室1厅,71.85㎡,共20层,南,454万,,2023-11-18
0cfc37334dcace14,中海金玺公馆 2室1厅 71.85平米,石景山,2室1厅,71.85㎡,共20层,南,435万,,2023-10-19
b79c8f54886f242e,古城北路 2室1厅 50.42平米,石景山,2室1厅,50.42㎡,共5层,北,146万,,2025-11-16
