house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
101114982036,2015年商品房，南北通透四居室，小区环境好,丰台,丰台-方庄,4室2厅,214.46㎡,中楼层(共7层),北 南,1900万,"88,595元/平",2025-01-22
101115955734,新三区精装修三居室 满两年 人车分流 预约看房,海淀,海淀-海淀北部新区,3室2厅,140.3㎡,中楼层(共5层),南 北,1120万,"79,829元/平",2025-04-22
101119344213,满五年唯一 地铁9号线 钢混结构 业主靠谱卖 精装修,丰台,丰台-太平桥,1室0厅,45.07㎡,高楼层(共15层),西南,249万,"55,248元/平",2025-07-21
101119666615,西城广外 南北通透 地铁9号线 粮食局家属楼,西城,西城-马连道,2室1厅,61.08㎡,高楼层(共6层),南 北,650万,"106,418元/平",2025-07-21
101120311788,芳园里 正规3室一厅 1999年建成 低楼层 双阳台,朝阳,朝阳-酒仙桥,3室1厅,101.46㎡,低楼层(共6层),东南 西北,520万,"51,252元/平",2025-11-18
101120727011,绿城百合公寓南区 看房随时 有钥匙,房山,房山-阎村,4室1厅,157.06㎡,高楼层(共6层),南 北,235万,"14,963元/平",2025-03-23
101120961370,房子是满五年唯一的，中间层南北通透。,丰台,丰台-北大地,2室1厅,54.41㎡,中楼层(共6层),南 北,240万,"44,110元/平",2025-06-21
101121276152,颐和金茂府 4室2厅 南 北,海淀,海淀-西山,4室2厅,246.87㎡,中楼层(共5层),南 北,3298万,"133,593元/平",2025-04-22
101121319464,2014年小区环境良好 全南向两居 户型方正 前后无遮挡,丰台,丰台-新宫,2室1厅,74.17㎡,低楼层(共16层),南,220万,"29,662元/平",2025-07-21
101121666255,丽泽建茗苑方正三居室，房本满五年，中间楼层，交通方,丰台,丰台-马连道,3室2厅,118.77㎡,高楼层(共23层),东北,705万,"59,359元/平",2025-08-20
101121788098,鹏润家园 精装修 东南朝向 三居室 高楼层 采光视野好,丰台,丰台-菜户营,3室1厅,148.8㎡,高楼层(共30层),东南,828万,"55,646元/平",2025-03-23
101121799170,臻园四居室 次次顶层 视野开阔 采光无遮挡,朝阳,朝阳-望京,4室2厅,188.57㎡,高楼层(共17层),南 北,1900万,"100,759元/平",2025-04-22
101121809173,金蝉北里 2室1厅 东南 北,朝阳,朝阳-垡头,2室1厅,93.9㎡,底层(共18层),东南 北,360万,"38,339元/平",2025-07-21
101122341443,《店长推荐》三环内 全南一居 高楼层 户型好 诚意出售,丰台,丰台-太平桥,1室1厅,38.67㎡,高楼层(共14层),南,240万,"62,064元/平",2025-07-21
101122411814,德胜置业产权车位，随时看，随时签约,西城,西城-六铺炕,车位,36.64㎡,未知,南,60万,"16,376元/平",2025-05-22
101122503573,国韵村 两梯两户，视野好 诚心出售,大兴,大兴-旧宫,4室2厅,174.83㎡,低楼层(共17层),南 西 北,780万,"44,615元/平",2025-11-18
101122525814,富贵园四区 双门禁管理 商品房花园社区 楼龄新,东城,东城-东花市,3室2厅,179.59㎡,底层(共12层),南 北,2200万,"122,502元/平",2025-02-21
101122735190,北京市西城区广安门外大街红居街远见名苑,西城,西城-广安门,2室1厅,83.66㎡,低楼层(共26层),西,799万,"95,506元/平",2025-03-23
101122970013,褐石园 温馨精装不临街南北复式四居,海淀,海淀-五道口,4室2厅,285.14㎡,底层(共5层),南 北,3200万,"112,226元/平",2025-11-18
101123014900,此房南北通透，2015年社区，板楼带电梯，两梯三户,丰台,丰台-宋家庄,3室1厅,111.83㎡,高楼层(共27层),南 北,615万,"54,995元/平",2025-12-12
101123243608,红山郡 1室1厅 南,丰台,丰台-丰台其它,1室1厅,48.43㎡,中楼层(共17层),南,128万,"26,430元/平",2025-01-22
101123283480,裘马都南向面宽19米的大五居 高楼层 有钥匙,朝阳,朝阳-三元桥,5室3厅,366.17㎡,顶层(共23层),南 西 北,3100万,"84,661元/平",2025-04-22
101123290561,二环边、近地铁、丽泽商务区、全南两居,丰台,丰台-菜户营,2室1厅,92.24㎡,中楼层(共18层),南,890万,"96,488元/平",2025-09-19
101123444972,瑞安君汇 二次设计 三居室 满五年唯一住宅 可看房,朝阳,朝阳-三里屯,3室2厅,196.69㎡,22层,东 西,1900万,"96,599元/平",2025-03-23
101123592321,长兴公寓 2室1厅 南 西,大兴,大兴-黄村火车站,2室1厅,77.92㎡,低楼层(共26层),南 西,210万,"26,951元/平",2025-04-22
