house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
ade78b9bf6baa18c,密云橡树湾东区 3室1厅 107.23平米,朝阳,密云-少年宫,3室1厅,107.23㎡,共13层,东,229万,,2025-11-14
ade78b9bf6baa18c,密云橡树湾西区 2室1厅 89.66平米,朝阳,密云-少年宫,2室1厅,89.66㎡,共20层,西,155万,,2025-11-14
ade78b9bf6baa18c,密云橡树湾西区 3室1厅 126.67平米,朝阳,密云-少年宫,3室1厅,126.67㎡,共10层,西,249万,,2024-09-23
ade78b9bf6baa18c,密云橡树湾东区 2室1厅 90.86平米,朝阳,密云-少年宫,2室1厅,90.86㎡,共12层,东,189万,,2024-07-01
ade78b9bf6baa18c,密云橡树湾东区 2室1厅 90.96平米,朝阳,密云-少年宫,2室1厅,90.96㎡,共13层,东,189万,,2024-06-20
ade78b9bf6baa18c,密云橡树湾西区 3室1厅 108.8平米,朝阳,密云-少年宫,3室1厅,108.8㎡,共20层,西,234万,,2024-04-20
ade78b9bf6baa18c,密云橡树湾西区 2室1厅 89.46平米,朝阳,密云-少年宫,2室1厅,89.46㎡,共19层,西,165万,,2024-03-24
ade78b9bf6baa18c,密云橡树湾东区 3室2厅 107.23平米,朝阳,密云-少年宫,3室2厅,107.23㎡,共13层,东,225万,,2024-03-10
ade78b9bf6baa18c,密云橡树湾西区 3室1厅 109.34平米,朝阳,密云-少年宫,3室1厅,109.34㎡,共20层,西,255万,,2024-03-10
ade78b9bf6baa18c,密云橡树湾西区 3室2厅 110.27平米,朝阳,密云-少年宫,3室2厅,110.27㎡,共19层,西,275万,,2024-03-10
ade78b9bf6baa18c,密云橡树湾西区 2室1厅 89.64平米,朝阳,密云-少年宫,2室1厅,89.64㎡,共19层,西,165万,,2024-01-14
ade78b9bf6baa18c,密云橡树湾西区 2室1厅 89.66平米,朝阳,密云-少年宫,2室1厅,89.66㎡,共20层,西,174万,,2023-12-29
fb2d7d39fdefe396,密云橡树湾东区 3室1厅 107.23平米,朝阳,密云-少年宫,3室1厅,107.23㎡,共13层,东,229万,,2025-11-14
fb2d7d39fdefe396,密云橡树湾西区 2室1厅 89.66平米,朝阳,密云-少年宫,2室1厅,89.66㎡,共20层,西,155万,,2025-11-14
