house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
002cd5b13036d90c,金域缇香 2室1厅 88.63平米,房山,房山-长阳,2室1厅,88.63㎡,共18层,南,207万,,2025-11-17
002cd5b13036d90c,金域缇香 3室2厅 115.74平米,房山,房山-长阳,3室2厅,115.74㎡,共21层,南,384万,,2024-11-10
002cd5b13036d90c,金域缇香 2室1厅 84.77平米,房山,房山-长阳,2室1厅,84.77㎡,共20层,南,254万,,2024-10-25
002cd5b13036d90c,金域缇香 3室1厅 108.84平米,房山,房山-长阳,3室1厅,108.84㎡,共16层,南,355万,,2024-10-23
002cd5b13036d90c,金域缇香 2室1厅 88.2平米,房山,房山-长阳,2室1厅,88.2㎡,共18层,南,255万,,2024-08-24
002cd5b13036d90c,金域缇香 2室2厅 84.77平米,房山,房山-长阳,2室2厅,84.77㎡,共20层,南,264万,,2024-08-10
002cd5b13036d90c,金域缇香 3室2厅 108.53平米,房山,房山-长阳,3室2厅,108.53㎡,共18层,南,349万,,2024-08-08
002cd5b13036d90c,金域缇香 2室1厅 84.49平米,房山,房山-长阳,2室1厅,84.49㎡,共21层,南,260万,,2024-07-20
002cd5b13036d90c,金域缇香 3室1厅 108.69平米,房山,房山-长阳,3室1厅,108.69㎡,共18层,南,355万,,2024-07-18
002cd5b13036d90c,金域缇香 1室1厅 61.79平米,房山,房山-长阳,1室1厅,61.79㎡,共18层,南,159万,,2024-06-30
002cd5b13036d90c,金域缇香 3室2厅 115.1平米,房山,房山-长阳,3室2厅,115.1㎡,共21层,南,370万,,2024-06-30
002cd5b13036d90c,金域缇香 3室1厅 105.16平米,房山,房山-长阳,3室1厅,105.16㎡,共18层,东,334万,,2024-05-29
135be0da4d5ead37,中粮京西祥云 3室1厅 113.93平米,房山,房山-长阳,3室1厅,113.93㎡,共14层,西,345万,,2025-10-24
9c25e8a7c7e61382,康泽佳苑北区 2室1厅 79.21平米,房山,房山-长阳,2室1厅,79.21㎡,共30层,北,1万,,2025-11-23
9c25e8a7c7e61382,康泽佳苑南区 2室1厅 54.36平米,房山,房山-长阳,2室1厅,54.36㎡,共28层,南,9万,,2025-11-22
9c25e8a7c7e61382,康泽佳苑北区 2室1厅 79.39平米,房山,房山-长阳,2室1厅,79.39㎡,共30层,北,153万,,2025-11-16
9c25e8a7c7e61382,康泽佳苑南区 2室1厅 52.94平米,房山,房山-长阳,2室1厅,52.94㎡,共18层,南,107万,,2025-11-09
9c25e8a7c7e61382,康泽佳苑南区 2室1厅 54.08平米,房山,房山-长阳,2室1厅,54.08㎡,共28层,南,108万,,2025-11-07
9c25e8a7c7e61382,康泽佳苑南区 2室1厅 52.73平米,房山,房山-长阳,2室1厅,52.73㎡,共18层,南,86万,,2025-11-07
9c25e8a7c7e61382,康泽佳苑北区 1室1厅 61.17平米,房山,房山-长阳,1室1厅,61.17㎡,共30层,北,141万,,2025-11-02
9c25e8a7c7e61382,康泽佳苑南区 3室1厅 63.53平米,房山,房山-长阳,3室1厅,63.53㎡,共18层,南,135万,,2025-11-01
9c25e8a7c7e61382,康泽佳苑南区 2室1厅 52.73平米,房山,房山-长阳,2室1厅,52.73㎡,共18层,南,97万,,2025-10-27
9c25e8a7c7e61382,康泽佳苑北区 2室1厅 78.89平米,房山,房山-长阳,2室1厅,78.89㎡,共25层,北,175万,,2025-10-18
e807813438751849,农林路社区 2室1厅 54.73平米,房山,房山-房山城关,2室1厅,54.73㎡,共6层,南北,48万,,2025-11-16
e807813438751849,农林路社区 2室1厅 60.74平米,房山,房山-房山城关,2室1厅,60.74㎡,共6层,南,89万,,2023-09-18
8a0227e41d409f05,首创紫悦台 2室1厅 74.06平米,房山,房山-良乡,2室1厅,74.06㎡,共25层,南北,199万,,2025-11-16
8a0227e41d409f05,首创紫悦台 2室1厅 74.45平米,房山,房山-良乡,2室1厅,74.45㎡,共21层,南,219万,,2024-10-27
8a0227e41d409f05,首创紫悦台 2室1厅 83.24平米,房山,房山-良乡,2室1厅,83.24㎡,共14层,南,310万,,2024-10-27
8a0227e41d409f05,首创紫悦台 2室1厅 74.8平米,房山,房山-良乡,2室1厅,74.8㎡,共25层,西,214万,,2024-07-30
8a0227e41d409f05,首创紫悦台 2室1厅 73.97平米,房山,房山-良乡,2室1厅,73.97㎡,共21层,南,215万,,2024-07-23
8a0227e41d409f05,首创紫悦台 2室1厅 74.37平米,房山,房山-良乡,2室1厅,74.37㎡,共24层,南,215万,,2024-06-15
8a0227e41d409f05,首创紫悦台 2室1厅 73.87平米,房山,房山-良乡,2室1厅,73.87㎡,共21层,南,214万,,2024-06-13
8a0227e41d409f05,首创紫悦台 2室1厅 74.45平米,房山,房山-良乡,2室1厅,74.45㎡,共21层,南,214万,,2024-06-02
ea0581ed588c502e,大宁山庄三区C区 3室2厅 141.21平米,房山,房山-长阳,3室2厅,141.21㎡,共5层,东南,428万,,2025-11-15
ea0581ed588c502e,大宁山庄一区 5室4厅 245.73平米,房山,房山-长阳,5室4厅,245.73㎡,共3层,南,809万,,2024-04-17
1e2d9dd72ac58407,加州水郡三期 2室1厅 84.21平米,房山,房山-长阳,2室1厅,84.21㎡,共14层,南北,170万,,2025-11-15
1e2d9dd72ac58407,加州水郡三期 1室1厅 58.6平米,房山,房山-长阳,1室1厅,58.6㎡,共15层,南,100万,,2025-11-08
1e2d9dd72ac58407,加州水郡四期 2室1厅 85.76平米,房山,房山-长阳,2室1厅,85.76㎡,共14层,南,155万,,2025-11-07
1e2d9dd72ac58407,加州水郡三期 2室1厅 87.62平米,房山,房山-长阳,2室1厅,87.62㎡,共11层,东南,170万,,2025-11-02
1e2d9dd72ac58407,加州水郡四期 1室1厅 58.87平米,房山,房山-长阳,1室1厅,58.87㎡,共11层,东北,120万,,2025-10-23
6a6daaa2f5ef10dd,佳世苑小区 2室1厅 96.48平米,房山,房山-良乡,2室1厅,96.48㎡,共14层,南,202万,,2025-11-15
6a6daaa2f5ef10dd,佳世苑小区 3室1厅 117.94平米,房山,房山-良乡,3室1厅,117.94㎡,共6层,南北,205万,,2025-11-15
6a6daaa2f5ef10dd,佳世苑小区 3室2厅 142.26平米,房山,房山-良乡,3室2厅,142.26㎡,共6层,南,324万,,2024-07-01
6a6daaa2f5ef10dd,佳世苑小区 2室1厅 96.23平米,房山,房山-良乡,2室1厅,96.23㎡,共14层,南,229万,,2024-05-28
6a6daaa2f5ef10dd,佳世苑小区 3室1厅 144.84平米,房山,房山-良乡,3室1厅,144.84㎡,共11层,南,380万,,2024-05-26
6a6daaa2f5ef10dd,佳世苑小区 2室2厅 102.46平米,房山,房山-良乡,2室2厅,102.46㎡,共13层,东,235万,,2024-04-13
6a6daaa2f5ef10dd,佳世苑小区 3室1厅 100.6平米,房山,房山-良乡,3室1厅,100.6㎡,共13层,南,225万,,2024-03-12
6a6daaa2f5ef10dd,佳世苑小区 2室1厅 100.6平米,房山,房山-良乡,2室1厅,100.6㎡,共13层,东,225万,,2024-03-04
6a6daaa2f5ef10dd,佳世苑小区 2室2厅 97.57平米,房山,房山-良乡,2室2厅,97.57㎡,共6层,南,240万,,2024-02-25
6a6daaa2f5ef10dd,佳世苑小区 4室2厅 196.08平米,房山,房山-良乡,4室2厅,196.08㎡,共14层,南,240万,,2024-02-22
6a6daaa2f5ef10dd,佳世苑小区 2室1厅 99.95平米,房山,房山-良乡,2室1厅,99.95㎡,共13层,东,244万,,2024-01-22
6a6daaa2f5ef10dd,佳世苑小区 2室1厅 87.43平米,房山,房山-良乡,2室1厅,87.43㎡,共6层,南,225万,,2024-01-16
6a6daaa2f5ef10dd,佳世苑小区 1室1厅 79.09平米,房山,房山-良乡,1室1厅,79.09㎡,共11层,南,194万,,2024-01-15
6a6daaa2f5ef10dd,佳世苑小区 2室1厅 95.75平米,房山,房山-良乡,2室1厅,95.75㎡,共14层,南,275万,,2024-01-13
6a6daaa2f5ef10dd,佳世苑小区 2室1厅 99.97平米,房山,房山-良乡,2室1厅,99.97㎡,共13层,西南,244万,,2024-01-05
6a6daaa2f5ef10dd,佳世苑小区 2室1厅 96.48平米,房山,房山-良乡,2室1厅,96.48㎡,共14层,南,254万,,2023-12-26
6a6daaa2f5ef10dd,佳世苑小区 2室2厅 96.48平米,房山,房山-良乡,2室2厅,96.48㎡,共14层,南,249万,,2023-12-23
6a6daaa2f5ef10dd,佳世苑小区 2室1厅 101.37平米,房山,房山-良乡,2室1厅,101.37㎡,共11层,西南,249万,,2023-11-09
6a6daaa2f5ef10dd,佳世苑小区 3室1厅 133.04平米,房山,房山-良乡,3室1厅,133.04㎡,共10层,南,369万,,2023-10-30
189b24c30edadd46,东风南里 2室1厅 53.26平米,房山,房山-燕山,2室1厅,53.26㎡,共5层,东,44万,,2025-11-15
189b24c30edadd46,东风南里 2室1厅 43.53平米,房山,房山-燕山,2室1厅,43.53㎡,共5层,东,39万,,2024-05-01
8c64b212b4de6ebd,北潞芳家园 2室1厅 91.14平米,房山,房山-良乡,2室1厅,91.14㎡,共6层,北,148万,,2025-11-15
8c64b212b4de6ebd,北潞芳家园 3室2厅 126.35平米,房山,房山-良乡,3室2厅,126.35㎡,共6层,北,176万,,2025-10-25
8c64b212b4de6ebd,北潞芳家园 2室2厅 85.53平米,房山,房山-良乡,2室2厅,85.53㎡,共6层,北,185万,,2024-06-06
8c64b212b4de6ebd,北潞芳家园 2室2厅 85.73平米,房山,房山-良乡,2室2厅,85.73㎡,共6层,北,184万,,2024-05-23
8c64b212b4de6ebd,北潞芳家园 2室1厅 86.46平米,房山,房山-良乡,2室1厅,86.46㎡,共6层,北,169万,,2024-03-12
8c64b212b4de6ebd,北潞芳家园 3室2厅 148.96平米,房山,房山-良乡,3室2厅,148.96㎡,共6层,北,274万,,2024-03-10
8c64b212b4de6ebd,北潞芳家园 2室1厅 86.46平米,房山,房山-良乡,2室1厅,86.46㎡,共6层,北,195万,,2023-11-21
8c64b212b4de6ebd,北潞芳家园 2室1厅 71.62平米,房山,房山-良乡,2室1厅,71.62㎡,共6层,北,180万,,2023-11-05
8c64b212b4de6ebd,北潞芳家园 2室1厅 90.61平米,房山,房山-良乡,2室1厅,90.61㎡,共5层,北,184万,,2023-08-20
8c64b212b4de6ebd,北潞芳家园 3室2厅 125.76平米,房山,房山-良乡,3室2厅,125.76㎡,共6层,北,294万,,2023-06-20
8c64b212b4de6ebd,北潞芳家园 3室2厅 148.75平米,房山,房山-良乡,3室2厅,148.75㎡,共6层,北,334万,,2023-04-09
8c64b212b4de6ebd,北潞芳家园 2室1厅 85.34平米,房山,房山-良乡,2室1厅,85.34㎡,共6层,北,224万,,2023-03-23
8c64b212b4de6ebd,北潞芳家园 2室1厅 87.18平米,房山,房山-良乡,2室1厅,87.18㎡,共5层,北,225万,,2023-02-04
4173392f83bdd9a1,金地朗悦朗园 3室1厅 96.16平米,房山,房山-良乡,3室1厅,96.16㎡,共12层,南,297万,,2025-11-15
4173392f83bdd9a1,金地朗悦朗园 3室1厅 96.16平米,房山,房山-良乡,3室1厅,96.16㎡,共12层,西南,304万,,2025-11-08
0874bd1884d0e0a2,首开熙悦睿府书香 2室1厅 79.32平米,房山,房山-良乡,2室1厅,79.32㎡,共16层,南,263万,,2025-11-15
0874bd1884d0e0a2,首开熙悦睿府书香 1室1厅 51.81平米,房山,房山-良乡,1室1厅,51.81㎡,共18层,南,46万,,2025-11-03
0874bd1884d0e0a2,首开熙悦睿府书香 2室1厅 81.37平米,房山,房山-良乡,2室1厅,81.37㎡,共16层,南,264万,,2024-08-24
0874bd1884d0e0a2,首开熙悦睿府书香 3室1厅 125.73平米,房山,房山-良乡,3室1厅,125.73㎡,共20层,东,450万,,2024-06-29
0874bd1884d0e0a2,首开熙悦睿府书香 2室1厅 80.6平米,房山,房山-良乡,2室1厅,80.6㎡,共18层,南,304万,,2024-05-30
0874bd1884d0e0a2,首开熙悦睿府书香 2室1厅 83.12平米,房山,房山-良乡,2室1厅,83.12㎡,共16层,南,285万,,2024-05-18
0874bd1884d0e0a2,首开熙悦睿府书香 2室1厅 85.27平米,房山,房山-良乡,2室1厅,85.27㎡,共16层,南,290万,,2024-05-18
0874bd1884d0e0a2,首开熙悦睿府书香 1室1厅 50.79平米,房山,房山-良乡,1室1厅,50.79㎡,共18层,西,55万,,2024-04-26
0874bd1884d0e0a2,首开熙悦睿府书香 3室2厅 123.38平米,房山,房山-良乡,3室2厅,123.38㎡,共20层,南,444万,,2024-03-19
0874bd1884d0e0a2,首开熙悦睿府书香 1室1厅 49.26平米,房山,房山-良乡,1室1厅,49.26㎡,共15层,北,59万,,2024-01-20
0874bd1884d0e0a2,首开熙悦睿府书香 1室1厅 47.14平米,房山,房山-良乡,1室1厅,47.14㎡,共15层,北,50万,,2024-01-10
a803974aa0a8007f,碧桂园小区A区 4室2厅 157.55平米,房山,房山-长阳,4室2厅,157.55㎡,共6层,南北,194万,,2025-11-15
a803974aa0a8007f,碧桂园小区A区 2室1厅 90.56平米,房山,房山-长阳,2室1厅,90.56㎡,共6层,南,174万,,2024-11-02
a803974aa0a8007f,碧桂园小区A区 3室2厅 110.7平米,房山,房山-长阳,3室2厅,110.7㎡,共6层,南,284万,,2024-03-01
a803974aa0a8007f,碧桂园小区A区 3室1厅 118.94平米,房山,房山-长阳,3室1厅,118.94㎡,共6层,南,235万,,2024-01-13
a803974aa0a8007f,碧桂园小区A区 2室1厅 91.98平米,房山,房山-长阳,2室1厅,91.98㎡,共6层,南,234万,,2023-09-24
a803974aa0a8007f,碧桂园小区A区 2室1厅 90.56平米,房山,房山-长阳,2室1厅,90.56㎡,共6层,南,240万,,2023-03-18
a803974aa0a8007f,碧桂园小区A区 2室2厅 90.22平米,房山,房山-长阳,2室2厅,90.22㎡,共6层,南,240万,,2023-02-26
a803974aa0a8007f,碧桂园小区A区 3室2厅 123.44平米,房山,房山-长阳,3室2厅,123.44㎡,共6层,南,364万,,2023-02-24
a803974aa0a8007f,碧桂园小区A区 5室1厅 182.01平米,房山,房山-长阳,5室1厅,182.01㎡,共6层,南,394万,,2023-02-19
807e0c7281c5333e,杏花西里 2室1厅 53.38平米,房山,房山-燕山,2室1厅,53.38㎡,共6层,西,45万,,2025-11-15
807e0c7281c5333e,杏花西里 2室1厅 59.56平米,房山,房山-燕山,2室1厅,59.56㎡,共6层,西,70万,,2024-01-21
807e0c7281c5333e,杏花西里 2室1厅 56.31平米,房山,房山-燕山,2室1厅,56.31㎡,共6层,西,69万,,2024-01-07
807e0c7281c5333e,杏花西里 2室1厅 59.38平米,房山,房山-燕山,2室1厅,59.38㎡,共6层,西,75万,,2023-11-18
807e0c7281c5333e,杏花西里 2室1厅 59.67平米,房山,房山-燕山,2室1厅,59.67㎡,共6层,西,74万,,2023-10-19
807e0c7281c5333e,杏花西里 3室1厅 75.65平米,房山,房山-燕山,3室1厅,75.65㎡,共6层,西,105万,,2023-09-04
807e0c7281c5333e,杏花西里 3室1厅 58.45平米,房山,房山-燕山,3室1厅,58.45㎡,共6层,西,80万,,2023-09-02
807e0c7281c5333e,杏花西里 2室1厅 60.26平米,房山,房山-燕山,2室1厅,60.26㎡,共6层,西,85万,,2023-05-14
807e0c7281c5333e,杏花西里 2室1厅 60.26平米,房山,房山-燕山,2室1厅,60.26㎡,共6层,西,80万,,2023-04-27
807e0c7281c5333e,杏花西里 1室1厅 43.42平米,房山,房山-燕山,1室1厅,43.42㎡,共6层,西,64万,,2023-04-24
807e0c7281c5333e,杏花西里 2室1厅 60.26平米,房山,房山-燕山,2室1厅,60.26㎡,共6层,西,89万,,2023-03-29
807e0c7281c5333e,杏花西里 2室1厅 60.08平米,房山,房山-燕山,2室1厅,60.08㎡,共6层,西,94万,,2023-03-02
807e0c7281c5333e,杏花西里 2室1厅 60.08平米,房山,房山-燕山,2室1厅,60.08㎡,共6层,西,80万,,2023-02-23
807e0c7281c5333e,杏花西里 2室1厅 59.67平米,房山,房山-燕山,2室1厅,59.67㎡,共6层,西,79万,,2023-02-21
807e0c7281c5333e,杏花西里 2室1厅 60.78平米,房山,房山-燕山,2室1厅,60.78㎡,共6层,西,90万,,2023-02-12
807e0c7281c5333e,杏花西里 2室1厅 60.83平米,房山,房山-燕山,2室1厅,60.83㎡,共6层,西,74万,,2023-02-11
d8fb8e7ec8618542,金隅畅和园4号院 1室1厅 65.37平米,房山,房山-良乡,1室1厅,65.37㎡,共22层,东,154万,,2024-10-26
d8fb8e7ec8618542,金隅畅和园4号院 2室1厅 80.8平米,房山,房山-良乡,2室1厅,80.8㎡,共22层,东南,174万,,2024-09-06
d8fb8e7ec8618542,金隅畅和园4号院 1室1厅 65.58平米,房山,房山-良乡,1室1厅,65.58㎡,共22层,南,170万,,2024-06-23
ec119d3040cb00d7,佳世苑小区 2室1厅 96.48平米,房山,房山-良乡,2室1厅,96.48㎡,共14层,南,202万,,2025-11-15
ec119d3040cb00d7,佳世苑小区 3室1厅 117.94平米,房山,房山-良乡,3室1厅,117.94㎡,共6层,南北,205万,,2025-11-15
ec119d3040cb00d7,佳世苑小区 3室2厅 142.26平米,房山,房山-良乡,3室2厅,142.26㎡,共6层,南,324万,,2024-07-01
ec119d3040cb00d7,佳世苑小区 2室1厅 96.23平米,房山,房山-良乡,2室1厅,96.23㎡,共14层,南,229万,,2024-05-28
ec119d3040cb00d7,佳世苑小区 3室1厅 144.84平米,房山,房山-良乡,3室1厅,144.84㎡,共11层,南,380万,,2024-05-26
ec119d3040cb00d7,佳世苑小区 2室2厅 102.46平米,房山,房山-良乡,2室2厅,102.46㎡,共13层,东,235万,,2024-04-13
ec119d3040cb00d7,佳世苑小区 3室1厅 100.6平米,房山,房山-良乡,3室1厅,100.6㎡,共13层,南,225万,,2024-03-12
ec119d3040cb00d7,佳世苑小区 2室1厅 100.6平米,房山,房山-良乡,2室1厅,100.6㎡,共13层,东,225万,,2024-03-04
ec119d3040cb00d7,佳世苑小区 2室2厅 97.57平米,房山,房山-良乡,2室2厅,97.57㎡,共6层,南,240万,,2024-02-25
ec119d3040cb00d7,佳世苑小区 4室2厅 196.08平米,房山,房山-良乡,4室2厅,196.08㎡,共14层,南,240万,,2024-02-22
ec119d3040cb00d7,佳世苑小区 2室1厅 99.95平米,房山,房山-良乡,2室1厅,99.95㎡,共13层,东,244万,,2024-01-22
ec119d3040cb00d7,佳世苑小区 2室1厅 87.43平米,房山,房山-良乡,2室1厅,87.43㎡,共6层,南,225万,,2024-01-16
ec119d3040cb00d7,佳世苑小区 1室1厅 79.09平米,房山,房山-良乡,1室1厅,79.09㎡,共11层,南,194万,,2024-01-15
ec119d3040cb00d7,佳世苑小区 2室1厅 95.75平米,房山,房山-良乡,2室1厅,95.75㎡,共14层,南,275万,,2024-01-13
ec119d3040cb00d7,佳世苑小区 2室1厅 99.97平米,房山,房山-良乡,2室1厅,99.97㎡,共13层,西南,244万,,2024-01-05
ec119d3040cb00d7,佳世苑小区 2室1厅 96.48平米,房山,房山-良乡,2室1厅,96.48㎡,共14层,南,254万,,2023-12-26
ec119d3040cb00d7,佳世苑小区 2室2厅 96.48平米,房山,房山-良乡,2室2厅,96.48㎡,共14层,南,249万,,2023-12-23
ec119d3040cb00d7,佳世苑小区 2室1厅 101.37平米,房山,房山-良乡,2室1厅,101.37㎡,共11层,西南,249万,,2023-11-09
ec119d3040cb00d7,佳世苑小区 3室1厅 133.04平米,房山,房山-良乡,3室1厅,133.04㎡,共10层,南,369万,,2023-10-30
3f145f5d591f687d,世界名园北区 3室2厅 137.79平米,房山,房山-窦店,3室2厅,137.79㎡,共6层,北,168万,,2025-11-12
3f145f5d591f687d,世界名园南区 3室2厅 130.66平米,房山,房山-窦店,3室2厅,130.66㎡,共6层,南,188万,,2025-11-01
3f145f5d591f687d,世界名园南区 2室2厅 103.93平米,房山,房山-窦店,2室2厅,103.93㎡,共6层,南,111万,,2025-10-25
