house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
cd46e7c099eac056,西长安壹号 42.63平米,门头沟,门头沟-永定,,42.63㎡,共17层,西,62万,,2025-11-16
cd46e7c099eac056,西长安壹号30号院 1室1厅 38.48平米,门头沟,门头沟-永定,1室1厅,38.48㎡,共10层,西,74万,,2025-11-01
1b7f9ee5e9f7c652,北京城建上悦居东区 3室1厅 88平米,门头沟,门头沟-永定,3室1厅,88㎡,共21层,北,191万,,2025-11-16
1b7f9ee5e9f7c652,北京城建上悦居 2室1厅 74.18平米,门头沟,门头沟-永定,2室1厅,74.18㎡,共21层,北,158万,,2025-11-09
1b7f9ee5e9f7c652,北京城建上悦居 2室1厅 74.07平米,门头沟,门头沟-永定,2室1厅,74.07㎡,共21层,北,144万,,2025-11-05
1b7f9ee5e9f7c652,北京城建上悦居 2室1厅 73.91平米,门头沟,门头沟-永定,2室1厅,73.91㎡,共21层,北,167万,,2025-10-23
89a24654f5adba87,高家园东街1号院 1室1厅 41.85平米,门头沟,门头沟-大峪,1室1厅,41.85㎡,共8层,东,75万,,2025-11-15
89a24654f5adba87,高家园东街1号院 1室1厅 39.57平米,门头沟,门头沟-大峪,1室1厅,39.57㎡,共8层,东,64万,,2025-11-12
89a24654f5adba87,高家园东街1号院 1室1厅 39.57平米,门头沟,门头沟-大峪,1室1厅,39.57㎡,共8层,东,66万,,2025-11-05
89a24654f5adba87,高家园东街1号院 4室2厅 145.18平米,门头沟,门头沟-大峪,4室2厅,145.18㎡,共6层,东,710万,,2023-07-19
2dcee73ff710d0ed,葡东小区 2室1厅 64.01平米,门头沟,门头沟-永定,2室1厅,64.01㎡,共6层,东,125万,,2025-11-15
2dcee73ff710d0ed,葡东小区 2室1厅 67.83平米,门头沟,门头沟-永定,2室1厅,67.83㎡,共6层,东,145万,,2024-10-27
2dcee73ff710d0ed,葡东小区 2室1厅 68.75平米,门头沟,门头沟-永定,2室1厅,68.75㎡,共6层,东,180万,,2024-09-17
2dcee73ff710d0ed,葡东小区 2室1厅 80.88平米,门头沟,门头沟-永定,2室1厅,80.88㎡,共6层,东,190万,,2024-08-24
2dcee73ff710d0ed,葡东小区 2室1厅 64.69平米,门头沟,门头沟-永定,2室1厅,64.69㎡,共6层,东,159万,,2024-08-11
2dcee73ff710d0ed,葡东小区 2室1厅 68.75平米,门头沟,门头沟-永定,2室1厅,68.75㎡,共6层,东,169万,,2024-07-31
2dcee73ff710d0ed,葡东小区 2室1厅 68.75平米,门头沟,门头沟-永定,2室1厅,68.75㎡,共6层,东,180万,,2024-07-27
2dcee73ff710d0ed,葡东小区 2室1厅 72.74平米,门头沟,门头沟-永定,2室1厅,72.74㎡,共6层,东,195万,,2024-06-15
cf1876500fa6a062,云泽嘉苑 1室1厅 42.59平米,门头沟,门头沟-永定,1室1厅,42.59㎡,共28层,南,79万,,2025-11-15
cf1876500fa6a062,云泽嘉苑 2室1厅 61.02平米,门头沟,门头沟-永定,2室1厅,61.02㎡,共28层,南,124万,,2025-11-02
