house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
a341ceb9b8946f6d,果园西里 2室1厅 87.15平米,密云,密云-密云果园,2室1厅,87.15㎡,共6层,西,123万,,2025-11-02
a341ceb9b8946f6d,果园西里 2室2厅 75.5平米,密云,密云-密云果园,2室2厅,75.5㎡,共6层,西,124万,,2024-10-10
a341ceb9b8946f6d,果园西里 2室2厅 80.77平米,密云,密云-密云果园,2室2厅,80.77㎡,共6层,西,134万,,2024-09-01
a341ceb9b8946f6d,果园西里 3室2厅 107.77平米,密云,密云-密云果园,3室2厅,107.77㎡,共6层,西,169万,,2024-08-31
a341ceb9b8946f6d,果园西里 2室2厅 79.97平米,密云,密云-密云果园,2室2厅,79.97㎡,共6层,西,100万,,2024-08-28
a341ceb9b8946f6d,果园西里 2室1厅 87.95平米,密云,密云-密云果园,2室1厅,87.95㎡,共5层,西,149万,,2024-07-16
a341ceb9b8946f6d,果园西里 3室2厅 114.8平米,密云,密云-密云果园,3室2厅,114.8㎡,共6层,西,169万,,2024-07-13
a341ceb9b8946f6d,果园西里 3室2厅 106.43平米,密云,密云-密云果园,3室2厅,106.43㎡,共6层,西,175万,,2024-06-02
a341ceb9b8946f6d,果园西里 3室2厅 80.16平米,密云,密云-密云果园,3室2厅,80.16㎡,共6层,西,139万,,2024-05-26
a341ceb9b8946f6d,果园西里 3室1厅 106.43平米,密云,密云-密云果园,3室1厅,106.43㎡,共6层,西,209万,,2024-03-29
a341ceb9b8946f6d,果园西里 2室2厅 79.97平米,密云,密云-密云果园,2室2厅,79.97㎡,共7层,西,145万,,2024-01-01
a341ceb9b8946f6d,果园西里 3室2厅 104.12平米,密云,密云-密云果园,3室2厅,104.12㎡,共6层,西,169万,,2023-12-30
a341ceb9b8946f6d,果园西里 3室2厅 104.99平米,密云,密云-密云果园,3室2厅,104.99㎡,共6层,西,174万,,2023-12-11
a341ceb9b8946f6d,果园西里 2室2厅 76.95平米,密云,密云-密云果园,2室2厅,76.95㎡,共6层,西,135万,,2023-11-23
a341ceb9b8946f6d,果园西里 2室1厅 61.6平米,密云,密云-密云果园,2室1厅,61.6㎡,共6层,西,124万,,2023-11-18
a341ceb9b8946f6d,果园西里 2室2厅 88.3平米,密云,密云-密云果园,2室2厅,88.3㎡,共6层,西,155万,,2023-11-10
a341ceb9b8946f6d,果园西里 2室1厅 70.49平米,密云,密云-密云果园,2室1厅,70.49㎡,共6层,西,129万,,2023-10-31
a341ceb9b8946f6d,果园西里 2室2厅 96.71平米,密云,密云-密云果园,2室2厅,96.71㎡,共6层,西,204万,,2023-08-04
a341ceb9b8946f6d,果园西里 3室2厅 104.12平米,密云,密云-密云果园,3室2厅,104.12㎡,共6层,西,189万,,2023-03-23
a341ceb9b8946f6d,果园西里 3室2厅 100.89平米,密云,密云-密云果园,3室2厅,100.89㎡,共6层,西,214万,,2023-03-01
a2e3454c6b88707b,宾阳里小区 2室1厅 57.56平米,密云,密云-宾阳,2室1厅,57.56㎡,共6层,南北,76万,,2025-11-08
a2e3454c6b88707b,宾阳里小区 2室1厅 77.24平米,密云,密云-宾阳,2室1厅,77.24㎡,共6层,北,100万,,2024-10-25
a2e3454c6b88707b,宾阳里小区 2室1厅 69.16平米,密云,密云-宾阳,2室1厅,69.16㎡,共6层,南,124万,,2024-08-23
a2e3454c6b88707b,宾阳里小区 2室1厅 68.8平米,密云,密云-宾阳,2室1厅,68.8㎡,共6层,南,114万,,2024-07-20
a2e3454c6b88707b,宾阳里小区 2室1厅 73.4平米,密云,密云-宾阳,2室1厅,73.4㎡,共6层,南,109万,,2024-05-14
a2e3454c6b88707b,宾阳里小区 2室1厅 64.67平米,密云,密云-宾阳,2室1厅,64.67㎡,共6层,南,115万,,2024-04-14
eb1e1014743d3879,绿地花都苑 2室1厅 96.34平米,密云,房山-长阳,2室1厅,96.34㎡,共13层,南北,180万,,2025-11-01
eb1e1014743d3879,绿地花都苑 2室1厅 89.28平米,密云,房山-长阳,2室1厅,89.28㎡,共13层,南,204万,,2024-09-08
eb1e1014743d3879,绿地花都苑 2室1厅 86.1平米,密云,房山-长阳,2室1厅,86.1㎡,共14层,南,205万,,2024-08-25
eb1e1014743d3879,绿地花都苑 2室1厅 89.08平米,密云,房山-长阳,2室1厅,89.08㎡,共13层,南,215万,,2024-06-14
eb1e1014743d3879,绿地花都苑 3室1厅 116.09平米,密云,房山-长阳,3室1厅,116.09㎡,共12层,南,309万,,2024-05-27
7b9f975b6910c465,密云橡树湾东区 3室1厅 107.23平米,密云,密云-少年宫,3室1厅,107.23㎡,共13层,东,229万,,2025-11-14
7b9f975b6910c465,密云橡树湾西区 2室1厅 89.66平米,密云,密云-少年宫,2室1厅,89.66㎡,共20层,西,155万,,2025-11-14
7b9f975b6910c465,密云橡树湾西区 3室1厅 126.67平米,密云,密云-少年宫,3室1厅,126.67㎡,共10层,西,249万,,2024-09-23
