house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
bbef6a261926eebf,新华联慧谷 3室2厅 101.83平米,平谷,平谷-马坊,3室2厅,101.83㎡,共17层,南,225万,,2023-06-07
84c16e5abbd77739,首城汇景湾（金河北街8号院） 3室1厅 134.34平米,平谷,平谷-马坊,3室1厅,134.34㎡,共15层,北,249万,,2024-05-07
84c16e5abbd77739,首城汇景墅（金河街108号院） 5室3厅 346.28平米,平谷,平谷-马坊,5室3厅,346.28㎡,共3层,南,714万,,2023-03-18
b76db6c1d1c2e0a9,首城汇景湾（梨羊路5号院） 2室1厅 70.56平米,平谷,平谷-马坊,2室1厅,70.56㎡,共18层,南,160万,,2023-10-28
b76db6c1d1c2e0a9,首城汇景湾（梨羊路5号院） 1室1厅 67.92平米,平谷,平谷-马坊,1室1厅,67.92㎡,共18层,东北,145万,,2023-01-12
02c2942bd717bad9,紫贵御园 3室2厅 106.49平米,平谷,平谷-平谷其它,3室2厅,106.49㎡,共19层,南,139万,,2024-10-27
02c2942bd717bad9,紫贵御园 2室2厅 80.97平米,平谷,平谷-平谷其它,2室2厅,80.97㎡,共15层,南,107万,,2024-10-26
02c2942bd717bad9,紫贵御园 3室2厅 99.31平米,平谷,平谷-平谷其它,3室2厅,99.31㎡,共17层,南,146万,,2024-10-13
02c2942bd717bad9,紫贵御园 2室1厅 85.14平米,平谷,平谷-平谷其它,2室1厅,85.14㎡,共13层,南,125万,,2024-08-03
02c2942bd717bad9,紫贵御园 3室1厅 98.53平米,平谷,平谷-平谷其它,3室1厅,98.53㎡,共17层,南,164万,,2024-05-12
02c2942bd717bad9,紫贵御园 3室2厅 106.49平米,平谷,平谷-平谷其它,3室2厅,106.49㎡,共19层,南,139万,,2024-10-27
02c2942bd717bad9,紫贵御园 2室2厅 80.97平米,平谷,平谷-平谷其它,2室2厅,80.97㎡,共15层,南,107万,,2024-10-26
02c2942bd717bad9,紫贵御园 3室2厅 99.31平米,平谷,平谷-平谷其它,3室2厅,99.31㎡,共17层,南,146万,,2024-10-13
02c2942bd717bad9,紫贵御园 2室1厅 85.14平米,平谷,平谷-平谷其它,2室1厅,85.14㎡,共13层,南,125万,,2024-08-03
02c2942bd717bad9,紫贵御园 3室1厅 98.53平米,平谷,平谷-平谷其它,3室1厅,98.53㎡,共17层,南,164万,,2024-05-12
e0c8733d5522b1f5,紫贵御园 3室2厅 106.49平米,平谷,平谷-平谷其它,3室2厅,106.49㎡,共19层,南,139万,,2024-10-27
e0c8733d5522b1f5,紫贵御园 2室2厅 80.97平米,平谷,平谷-平谷其它,2室2厅,80.97㎡,共15层,南,107万,,2024-10-26
e0c8733d5522b1f5,紫贵御园 3室2厅 99.31平米,平谷,平谷-平谷其它,3室2厅,99.31㎡,共17层,南,146万,,2024-10-13
e0c8733d5522b1f5,紫贵御园 2室1厅 85.14平米,平谷,平谷-平谷其它,2室1厅,85.14㎡,共13层,南,125万,,2024-08-03
e0c8733d5522b1f5,紫贵御园 3室1厅 98.53平米,平谷,平谷-平谷其它,3室1厅,98.53㎡,共17层,南,164万,,2024-05-12
e0c8733d5522b1f5,紫贵御园 2室1厅 75.74平米,平谷,平谷-平谷其它,2室1厅,75.74㎡,共15层,南,164万,,2024-05-11
e0c8733d5522b1f5,紫贵御园 1室1厅 55.96平米,平谷,平谷-平谷其它,1室1厅,55.96㎡,共13层,南,114万,,2024-03-21
e0c8733d5522b1f5,紫贵御园 2室1厅 76.52平米,平谷,平谷-平谷其它,2室1厅,76.52㎡,共12层,南,165万,,2023-10-22
3e56807e9d17747e,紫贵御园 3室2厅 106.49平米,平谷,平谷-平谷其它,3室2厅,106.49㎡,共19层,南,139万,,2024-10-27
3e56807e9d17747e,紫贵御园 2室2厅 80.97平米,平谷,平谷-平谷其它,2室2厅,80.97㎡,共15层,南,107万,,2024-10-26
3e56807e9d17747e,紫贵御园 3室2厅 99.31平米,平谷,平谷-平谷其它,3室2厅,99.31㎡,共17层,南,146万,,2024-10-13
3e56807e9d17747e,紫贵御园 2室1厅 85.14平米,平谷,平谷-平谷其它,2室1厅,85.14㎡,共13层,南,125万,,2024-08-03
3e56807e9d17747e,紫贵御园 3室1厅 98.53平米,平谷,平谷-平谷其它,3室1厅,98.53㎡,共17层,南,164万,,2024-05-12
3e56807e9d17747e,紫贵御园 2室1厅 75.74平米,平谷,平谷-平谷其它,2室1厅,75.74㎡,共15层,南,164万,,2024-05-11
3e56807e9d17747e,紫贵御园 1室1厅 55.96平米,平谷,平谷-平谷其它,1室1厅,55.96㎡,共13层,南,114万,,2024-03-21
3e56807e9d17747e,紫贵御园 2室1厅 76.52平米,平谷,平谷-平谷其它,2室1厅,76.52㎡,共12层,南,165万,,2023-10-22
7f9a148bd307e69b,中弘由山由谷 5室2厅 173.71平米,平谷,平谷-平谷城区,5室2厅,173.71㎡,共3层,南,278万,,2024-08-30
3b3b4ff86819ac18,紫贵御园 3室2厅 106.49平米,平谷,平谷-平谷其它,3室2厅,106.49㎡,共19层,南,139万,,2024-10-27
3b3b4ff86819ac18,紫贵御园 2室2厅 80.97平米,平谷,平谷-平谷其它,2室2厅,80.97㎡,共15层,南,107万,,2024-10-26
3b3b4ff86819ac18,紫贵御园 3室2厅 99.31平米,平谷,平谷-平谷其它,3室2厅,99.31㎡,共17层,南,146万,,2024-10-13
3b3b4ff86819ac18,紫贵御园 2室1厅 85.14平米,平谷,平谷-平谷其它,2室1厅,85.14㎡,共13层,南,125万,,2024-08-03
3b3b4ff86819ac18,紫贵御园 3室1厅 98.53平米,平谷,平谷-平谷其它,3室1厅,98.53㎡,共17层,南,164万,,2024-05-12
3b3b4ff86819ac18,紫贵御园 2室1厅 75.74平米,平谷,平谷-平谷其它,2室1厅,75.74㎡,共15层,南,164万,,2024-05-11
3b3b4ff86819ac18,紫贵御园 1室1厅 55.96平米,平谷,平谷-平谷其它,1室1厅,55.96㎡,共13层,南,114万,,2024-03-21
3b3b4ff86819ac18,紫贵御园 2室1厅 76.52平米,平谷,平谷-平谷其它,2室1厅,76.52㎡,共12层,南,165万,,2023-10-22
10fde7e223f6075e,紫贵御园 3室2厅 106.49平米,平谷,平谷-平谷其它,3室2厅,106.49㎡,共19层,南,139万,,2024-10-27
10fde7e223f6075e,紫贵御园 2室2厅 80.97平米,平谷,平谷-平谷其它,2室2厅,80.97㎡,共15层,南,107万,,2024-10-26
10fde7e223f6075e,紫贵御园 3室2厅 99.31平米,平谷,平谷-平谷其它,3室2厅,99.31㎡,共17层,南,146万,,2024-10-13
10fde7e223f6075e,紫贵御园 2室1厅 85.14平米,平谷,平谷-平谷其它,2室1厅,85.14㎡,共13层,南,125万,,2024-08-03
10fde7e223f6075e,紫贵御园 3室1厅 98.53平米,平谷,平谷-平谷其它,3室1厅,98.53㎡,共17层,南,164万,,2024-05-12
10fde7e223f6075e,紫贵御园 2室1厅 75.74平米,平谷,平谷-平谷其它,2室1厅,75.74㎡,共15层,南,164万,,2024-05-11
10fde7e223f6075e,紫贵御园 1室1厅 55.96平米,平谷,平谷-平谷其它,1室1厅,55.96㎡,共13层,南,114万,,2024-03-21
10fde7e223f6075e,紫贵御园 2室1厅 76.52平米,平谷,平谷-平谷其它,2室1厅,76.52㎡,共12层,南,165万,,2023-10-22
f9a16f0d255b75f5,紫贵御园 3室2厅 106.49平米,平谷,平谷-平谷其它,3室2厅,106.49㎡,共19层,南,139万,,2024-10-27
f9a16f0d255b75f5,紫贵御园 2室2厅 80.97平米,平谷,平谷-平谷其它,2室2厅,80.97㎡,共15层,南,107万,,2024-10-26
f9a16f0d255b75f5,紫贵御园 3室2厅 99.31平米,平谷,平谷-平谷其它,3室2厅,99.31㎡,共17层,南,146万,,2024-10-13
f9a16f0d255b75f5,紫贵御园 2室1厅 85.14平米,平谷,平谷-平谷其它,2室1厅,85.14㎡,共13层,南,125万,,2024-08-03
