house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
cd463ef7ee5b86ee,京贸国际公馆东区 3室1厅 115.65平米,通州,通州-九棵树,3室1厅,115.65㎡,共27层,东,536万,,2025-11-17
cd463ef7ee5b86ee,京贸国际公馆东区 4室2厅 220.09平米,通州,通州-九棵树,4室2厅,220.09㎡,共27层,东,341万,,2025-10-25
cd463ef7ee5b86ee,京贸国际公馆 3室2厅 125.67平米,通州,通州-九棵树,3室2厅,125.67㎡,共27层,南,709万,,2024-10-13
cd463ef7ee5b86ee,京贸国际公馆 3室2厅 126.36平米,通州,通州-九棵树,3室2厅,126.36㎡,共27层,南,669万,,2024-07-29
cd463ef7ee5b86ee,京贸国际公馆 2室1厅 72.44平米,通州,通州-九棵树,2室1厅,72.44㎡,共25层,南,410万,,2024-06-15
cd463ef7ee5b86ee,京贸国际公馆 3室2厅 115平米,通州,通州-九棵树,3室2厅,115㎡,共27层,南,639万,,2024-05-26
cd463ef7ee5b86ee,京贸国际公馆 3室1厅 91.48平米,通州,通州-九棵树,3室1厅,91.48㎡,共27层,南,475万,,2024-04-18
cd463ef7ee5b86ee,京贸国际公馆 3室1厅 92.25平米,通州,通州-九棵树,3室1厅,92.25㎡,共27层,南,470万,,2024-02-02
cd463ef7ee5b86ee,京贸国际公馆 4室1厅 92.27平米,通州,通州-九棵树,4室1厅,92.27㎡,共27层,南,664万,,2024-01-16
38a3d1af460a3111,武夷花园月季园 2室2厅 101.85平米,通州,通州-武夷花园,2室2厅,101.85㎡,共27层,东南,2万,,2025-11-24
38a3d1af460a3111,武夷花园月季园 2室1厅 101.85平米,通州,通州-武夷花园,2室1厅,101.85㎡,共27层,南,267万,,2025-11-17
38a3d1af460a3111,武夷花园月季园 1室1厅 61.63平米,通州,通州-武夷花园,1室1厅,61.63㎡,共18层,东,185万,,2024-10-20
38a3d1af460a3111,武夷花园月季园 3室2厅 130.46平米,通州,通州-武夷花园,3室2厅,130.46㎡,共25层,南,495万,,2024-10-04
38a3d1af460a3111,武夷花园月季园 2室1厅 99.57平米,通州,通州-武夷花园,2室1厅,99.57㎡,共27层,东南,375万,,2024-05-27
38a3d1af460a3111,武夷花园月季园 1室1厅 67.58平米,通州,通州-武夷花园,1室1厅,67.58㎡,共18层,南,270万,,2024-04-11
35dd675729b142bb,珠江拉维小镇 5室2厅 204.69平米,通州,通州-潞苑南大街,5室2厅,204.69㎡,共10层,南,436万,,2025-11-17
35dd675729b142bb,珠江拉维小镇 1室1厅 60.15平米,通州,通州-潞苑南大街,1室1厅,60.15㎡,共9层,南,146万,,2025-10-31
35dd675729b142bb,珠江拉维小镇 2室1厅 97.16平米,通州,通州-潞苑南大街,2室1厅,97.16㎡,共10层,南,253万,,2025-10-30
35dd675729b142bb,珠江拉维小镇 2室1厅 95.41平米,通州,通州-潞苑南大街,2室1厅,95.41㎡,共10层,南,265万,,2025-10-29
35dd675729b142bb,珠江拉维小镇 52.54平米,通州,通州-潞苑南大街,,52.54㎡,共9层,南,120万,,2025-10-24
