house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
63e62627b046c29a,材料所家属区 2室2厅 71.89平米,北碚,北碚-老城区,2室2厅,71.89㎡,6层,北,16万,,2025-08-02
63e62627b046c29a,材料所家属区 2室1厅 58.1平米,北碚,北碚-老城区,2室1厅,58.1㎡,,北,20万,,2023-10-23
019de9603c2238fe,新城国际 2室1厅 85平米,北碚,北碚-城南新区,2室1厅,85㎡,共16层,北,51万,,2025-10-26
019de9603c2238fe,新城国际 2室1厅 86平米,北碚,北碚-城南新区,2室1厅,86㎡,15层,北,50万,,2025-07-22
019de9603c2238fe,新城国际 2室2厅 97.15平米,北碚,北碚-城南新区,2室2厅,97.15㎡,,北,80万,,2024-11-10
019de9603c2238fe,新城国际 3室1厅 125.24平米,北碚,北碚-城南新区,3室1厅,125.24㎡,,北,84万,,2024-10-07
0e485153ea9f486e,财富双星 1室1厅 52平米,北碚,北碚-城南新区,1室1厅,52㎡,27层,北,32万,,2025-08-07
0e485153ea9f486e,财富双星 1室1厅 52.05平米,北碚,北碚-城南新区,1室1厅,52.05㎡,,北,42万,,2024-11-22
0e485153ea9f486e,财富双星 36平米,北碚,北碚-城南新区,,36㎡,,北,36万,,2024-06-25
0e485153ea9f486e,财富双星 2室2厅 72平米,北碚,北碚-城南新区,2室2厅,72㎡,,北,63万,,2023-09-27
0e485153ea9f486e,财富双星 36平米,北碚,北碚-城南新区,,36㎡,,北,39万,,2023-07-28
0e485153ea9f486e,财富双星 2室1厅 71.5平米,北碚,北碚-城南新区,2室1厅,71.5㎡,,北,70万,,2023-02-22
0e485153ea9f486e,财富双星 36.04平米,北碚,北碚-城南新区,,36.04㎡,,北,42万,,2023-02-19
e9ec4e8f1ef5cdd6,天府丽正丽新花园 2室1厅 78平米,北碚,北碚-北碚其他,2室1厅,78㎡,,北,26万,,2025-06-07
33ab3a7b44b888b4,水墨江山一期 3室2厅 93.95平米,北碚,北碚-城南新区,3室2厅,93.95㎡,共13层,北,57万,,2025-10-19
33ab3a7b44b888b4,水墨江山二期 3室2厅 116平米,北碚,北碚-城南新区,3室2厅,116㎡,13层,北,79万,,2025-05-24
33ab3a7b44b888b4,水墨江山一期 3室2厅 116平米,北碚,北碚-城南新区,3室2厅,116㎡,13层,北,82万,,2025-01-19
33ab3a7b44b888b4,水墨江山一期 3室2厅 94平米,北碚,北碚-城南新区,3室2厅,94㎡,,北,67万,,2024-10-13
5523b68071187b25,万科金域华府 3室2厅 97平米,北碚,北碚-老城区,3室2厅,97㎡,共27层,北,86万,,2025-10-26
