house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
c069728b59d93d22,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,16万,,2025-10-16
c069728b59d93d22,北新御龙湾 3室1厅 84.06平米,合川,合川-合川,3室1厅,84.06㎡,29层,北,18万,,2025-07-27
c069728b59d93d22,北新御龙湾 3室1厅 85.01平米,合川,合川-合川,3室1厅,85.01㎡,,北,25万,,2024-07-07
c069728b59d93d22,北新御龙湾 3室2厅 106.15平米,合川,合川-合川,3室2厅,106.15㎡,,北,30万,,2024-03-18
c069728b59d93d22,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,23万,,2024-03-14
c069728b59d93d22,北新御龙湾 3室2厅 119平米,合川,合川-合川,3室2厅,119㎡,,北,36万,,2024-02-02
c069728b59d93d22,北新御龙湾 4室2厅 117.1平米,合川,合川-合川,4室2厅,117.1㎡,,北,35万,,2023-12-15
c069728b59d93d22,北新御龙湾 3室1厅 89.01平米,合川,合川-合川,3室1厅,89.01㎡,,北,29万,,2023-10-04
c069728b59d93d22,北新御龙湾 3室1厅 88.2平米,合川,合川-合川,3室1厅,88.2㎡,,北,31万,,2023-07-22
c069728b59d93d22,北新御龙湾 3室2厅 107平米,合川,合川-合川,3室2厅,107㎡,,北,41万,,2023-04-16
953d10779444f5eb,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,16万,,2025-10-16
953d10779444f5eb,北新御龙湾 3室1厅 84.06平米,合川,合川-合川,3室1厅,84.06㎡,29层,北,18万,,2025-07-27
953d10779444f5eb,北新御龙湾 3室1厅 85.01平米,合川,合川-合川,3室1厅,85.01㎡,,北,25万,,2024-07-07
953d10779444f5eb,北新御龙湾 3室2厅 106.15平米,合川,合川-合川,3室2厅,106.15㎡,,北,30万,,2024-03-18
953d10779444f5eb,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,23万,,2024-03-14
953d10779444f5eb,北新御龙湾 3室2厅 119平米,合川,合川-合川,3室2厅,119㎡,,北,36万,,2024-02-02
953d10779444f5eb,北新御龙湾 4室2厅 117.1平米,合川,合川-合川,4室2厅,117.1㎡,,北,35万,,2023-12-15
953d10779444f5eb,北新御龙湾 3室1厅 89.01平米,合川,合川-合川,3室1厅,89.01㎡,,北,29万,,2023-10-04
953d10779444f5eb,北新御龙湾 3室1厅 88.2平米,合川,合川-合川,3室1厅,88.2㎡,,北,31万,,2023-07-22
953d10779444f5eb,北新御龙湾 3室2厅 107平米,合川,合川-合川,3室2厅,107㎡,,北,41万,,2023-04-16
b623cae4970474ff,银翔盛世悦庭 3室1厅 70平米,合川,合川-合川,3室1厅,70㎡,18层,,22万,,2025-07-27
b623cae4970474ff,银翔盛世悦庭 1室1厅 33.7平米,合川,合川-合川,1室1厅,33.7㎡,18层,,10万,,2025-04-29
b623cae4970474ff,银翔盛世悦庭 2室1厅 52.71平米,合川,合川-合川,2室1厅,52.71㎡,,,24万,,2023-01-29
666162f30b141c93,银翔盛世悦庭 3室1厅 70平米,合川,合川-合川,3室1厅,70㎡,18层,,22万,,2025-07-27
666162f30b141c93,银翔盛世悦庭 1室1厅 33.7平米,合川,合川-合川,1室1厅,33.7㎡,18层,,10万,,2025-04-29
666162f30b141c93,银翔盛世悦庭 2室1厅 52.71平米,合川,合川-合川,2室1厅,52.71㎡,,,24万,,2023-01-29
199fbc57824562c0,银翔城盛世豪庭 3室1厅 89平米,合川,合川-合川,3室1厅,89㎡,,,29万,,2025-02-07
199fbc57824562c0,银翔城盛世豪庭 3室2厅 106平米,合川,合川-合川,3室2厅,106㎡,,,45万,,2023-11-15
5425275c62eb7b11,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,16万,,2025-10-16
5425275c62eb7b11,北新御龙湾 3室1厅 84.06平米,合川,合川-合川,3室1厅,84.06㎡,29层,北,18万,,2025-07-27
5425275c62eb7b11,北新御龙湾 3室1厅 85.01平米,合川,合川-合川,3室1厅,85.01㎡,,北,25万,,2024-07-07
5425275c62eb7b11,北新御龙湾 3室2厅 106.15平米,合川,合川-合川,3室2厅,106.15㎡,,北,30万,,2024-03-18
5425275c62eb7b11,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,23万,,2024-03-14
5425275c62eb7b11,北新御龙湾 3室2厅 119平米,合川,合川-合川,3室2厅,119㎡,,北,36万,,2024-02-02
5425275c62eb7b11,北新御龙湾 4室2厅 117.1平米,合川,合川-合川,4室2厅,117.1㎡,,北,35万,,2023-12-15
5425275c62eb7b11,北新御龙湾 3室1厅 89.01平米,合川,合川-合川,3室1厅,89.01㎡,,北,29万,,2023-10-04
5425275c62eb7b11,北新御龙湾 3室1厅 88.2平米,合川,合川-合川,3室1厅,88.2㎡,,北,31万,,2023-07-22
5425275c62eb7b11,北新御龙湾 3室2厅 107平米,合川,合川-合川,3室2厅,107㎡,,北,41万,,2023-04-16
edba3be60d4bad67,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,16万,,2025-10-16
edba3be60d4bad67,北新御龙湾 3室1厅 84.06平米,合川,合川-合川,3室1厅,84.06㎡,29层,北,18万,,2025-07-27
edba3be60d4bad67,北新御龙湾 3室1厅 85.01平米,合川,合川-合川,3室1厅,85.01㎡,,北,25万,,2024-07-07
edba3be60d4bad67,北新御龙湾 3室2厅 106.15平米,合川,合川-合川,3室2厅,106.15㎡,,北,30万,,2024-03-18
edba3be60d4bad67,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,23万,,2024-03-14
edba3be60d4bad67,北新御龙湾 3室2厅 119平米,合川,合川-合川,3室2厅,119㎡,,北,36万,,2024-02-02
edba3be60d4bad67,北新御龙湾 4室2厅 117.1平米,合川,合川-合川,4室2厅,117.1㎡,,北,35万,,2023-12-15
edba3be60d4bad67,北新御龙湾 3室1厅 89.01平米,合川,合川-合川,3室1厅,89.01㎡,,北,29万,,2023-10-04
edba3be60d4bad67,北新御龙湾 3室1厅 88.2平米,合川,合川-合川,3室1厅,88.2㎡,,北,31万,,2023-07-22
edba3be60d4bad67,北新御龙湾 3室2厅 107平米,合川,合川-合川,3室2厅,107㎡,,北,41万,,2023-04-16
51d68e05860004da,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,16万,,2025-10-16
51d68e05860004da,北新御龙湾 3室1厅 84.06平米,合川,合川-合川,3室1厅,84.06㎡,29层,北,18万,,2025-07-27
51d68e05860004da,北新御龙湾 3室1厅 85.01平米,合川,合川-合川,3室1厅,85.01㎡,,北,25万,,2024-07-07
51d68e05860004da,北新御龙湾 3室2厅 106.15平米,合川,合川-合川,3室2厅,106.15㎡,,北,30万,,2024-03-18
51d68e05860004da,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,23万,,2024-03-14
51d68e05860004da,北新御龙湾 3室2厅 119平米,合川,合川-合川,3室2厅,119㎡,,北,36万,,2024-02-02
51d68e05860004da,北新御龙湾 4室2厅 117.1平米,合川,合川-合川,4室2厅,117.1㎡,,北,35万,,2023-12-15
51d68e05860004da,北新御龙湾 3室1厅 89.01平米,合川,合川-合川,3室1厅,89.01㎡,,北,29万,,2023-10-04
51d68e05860004da,北新御龙湾 3室1厅 88.2平米,合川,合川-合川,3室1厅,88.2㎡,,北,31万,,2023-07-22
51d68e05860004da,北新御龙湾 3室2厅 107平米,合川,合川-合川,3室2厅,107㎡,,北,41万,,2023-04-16
e2a55dd849334d2a,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,16万,,2025-10-16
e2a55dd849334d2a,北新御龙湾 3室1厅 84.06平米,合川,合川-合川,3室1厅,84.06㎡,29层,北,18万,,2025-07-27
e2a55dd849334d2a,北新御龙湾 3室1厅 85.01平米,合川,合川-合川,3室1厅,85.01㎡,,北,25万,,2024-07-07
e2a55dd849334d2a,北新御龙湾 3室2厅 106.15平米,合川,合川-合川,3室2厅,106.15㎡,,北,30万,,2024-03-18
e2a55dd849334d2a,北新御龙湾 2室2厅 78.25平米,合川,合川-合川,2室2厅,78.25㎡,,北,23万,,2024-03-14
e2a55dd849334d2a,北新御龙湾 3室2厅 119平米,合川,合川-合川,3室2厅,119㎡,,北,36万,,2024-02-02
e2a55dd849334d2a,北新御龙湾 4室2厅 117.1平米,合川,合川-合川,4室2厅,117.1㎡,,北,35万,,2023-12-15
e2a55dd849334d2a,北新御龙湾 3室1厅 89.01平米,合川,合川-合川,3室1厅,89.01㎡,,北,29万,,2023-10-04
