house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 104平米,江津,江津-江津,3室2厅,104㎡,共8层,东南,48万,,2025-10-28
f41cefed1231a330,鲁能领秀城二期 2室1厅 85.3平米,江津,江津-江津,2室1厅,85.3㎡,,,28万,,2025-10-12
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 101平米,江津,江津-江津,3室2厅,101㎡,,,44万,,2025-09-27
f41cefed1231a330,鲁能领秀城二期 2室1厅 85平米,江津,江津-江津,2室1厅,85㎡,,,30万,,2025-08-28
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 103平米,江津,江津-江津,3室2厅,103㎡,,,45万,,2025-06-15
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 89.79平米,江津,江津-江津,3室2厅,89.79㎡,,,31万,,2025-06-12
f41cefed1231a330,鲁能领秀城1街区（江津） 3室1厅 100.9平米,江津,江津-江津,3室1厅,100.9㎡,,,59万,,2025-06-10
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 98.04平米,江津,江津-江津,3室2厅,98.04㎡,,,37万,,2025-05-30
f41cefed1231a330,鲁能领秀城1街区（江津） 4室1厅 119.39平米,江津,江津-江津,4室1厅,119.39㎡,,,71万,,2025-05-22
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 103平米,江津,江津-江津,3室2厅,103㎡,,,63万,,2025-05-17
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 97平米,江津,江津-江津,3室2厅,97㎡,,,36万,,2025-05-11
f41cefed1231a330,鲁能领秀城1街区（江津） 4室2厅 122平米,江津,江津-江津,4室2厅,122㎡,,,62万,,2025-05-05
f41cefed1231a330,鲁能领秀城二期 4室2厅 126平米,江津,江津-江津,4室2厅,126㎡,8层,,95万,,2025-04-17
f41cefed1231a330,鲁能领秀城1街区（江津） 2室2厅 62.47平米,江津,江津-江津,2室2厅,62.47㎡,,,22万,,2025-04-12
f41cefed1231a330,鲁能领秀城1街区（江津） 3室1厅 97.52平米,江津,江津-江津,3室1厅,97.52㎡,31层,,55万,,2025-03-30
f41cefed1231a330,鲁能领秀城1街区（江津） 3室1厅 100.9平米,江津,江津-江津,3室1厅,100.9㎡,,,47万,,2025-03-29
f41cefed1231a330,鲁能领秀城二期 3室2厅 100.31平米,江津,江津-江津,3室2厅,100.31㎡,16层,,46万,,2025-03-29
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 83平米,江津,江津-江津,3室2厅,83㎡,,,31万,,2025-02-22
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 101平米,江津,江津-江津,3室2厅,101㎡,,,70万,,2025-02-22
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 97平米,江津,江津-江津,3室2厅,97㎡,31层,,42万,,2025-02-06
f41cefed1231a330,鲁能领秀城1街区（江津） 3室1厅 103平米,江津,江津-江津,3室1厅,103㎡,,,49万,,2025-01-05
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 89平米,江津,江津-江津,3室2厅,89㎡,,,46万,,2024-12-13
f41cefed1231a330,鲁能领秀城1街区（江津） 3室1厅 83平米,江津,江津-江津,3室1厅,83㎡,,,32万,,2024-10-27
f41cefed1231a330,鲁能领秀城1街区（江津） 3室1厅 104平米,江津,江津-江津,3室1厅,104㎡,,,55万,,2024-10-27
f41cefed1231a330,鲁能领秀城1街区（江津） 4室2厅 119平米,江津,江津-江津,4室2厅,119㎡,,,60万,,2024-10-06
f41cefed1231a330,鲁能领秀城1街区（江津） 3室1厅 98平米,江津,江津-江津,3室1厅,98㎡,,,41万,,2024-07-17
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 97.14平米,江津,江津-江津,3室2厅,97.14㎡,,,53万,,2024-07-17
f41cefed1231a330,鲁能领秀城1街区（江津） 4室2厅 119.4平米,江津,江津-江津,4室2厅,119.4㎡,,,60万,,2024-07-02
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 89.83平米,江津,江津-江津,3室2厅,89.83㎡,,,50万,,2024-06-08
f41cefed1231a330,鲁能领秀城1街区（江津） 3室1厅 90平米,江津,江津-江津,3室1厅,90㎡,,,51万,,2024-05-27
f41cefed1231a330,鲁能领秀城1街区（江津） 4室1厅 119平米,江津,江津-江津,4室1厅,119㎡,,,68万,,2024-05-02
f41cefed1231a330,鲁能领秀城1街区（江津） 4室2厅 117.49平米,江津,江津-江津,4室2厅,117.49㎡,,,71万,,2024-03-11
f41cefed1231a330,鲁能领秀城1街区（江津） 3室2厅 100.09平米,江津,江津-江津,3室2厅,100.09㎡,,,51万,,2024-03-01
f41cefed1231a330,鲁能领秀城1街区（江津） 4室2厅 120平米,江津,江津-江津,4室2厅,120㎡,,,96万,,2023-03-18
f41cefed1231a330,鲁能领秀城1街区（江津） 4室2厅 126.36平米,江津,江津-江津,4室2厅,126.36㎡,,,106万,,2023-03-01
ed0baa3c7a821aa7,迪鑫阳光天宸 4室2厅 126平米,江津,江津-江津,4室2厅,126㎡,10层,,65万,,2025-04-21
ed0baa3c7a821aa7,迪鑫阳光天宸 4室1厅 139平米,江津,江津-江津,4室1厅,139㎡,,,83万,,2025-03-27
ed0baa3c7a821aa7,迪鑫阳光天宸 3室2厅 98平米,江津,江津-江津,3室2厅,98㎡,31层,,62万,,2025-03-05
ed0baa3c7a821aa7,迪鑫阳光天宸 3室2厅 105平米,江津,江津-江津,3室2厅,105㎡,,,95万,,2025-01-22
ed0baa3c7a821aa7,迪鑫阳光天宸 4室2厅 118平米,江津,江津-江津,4室2厅,118㎡,,,68万,,2024-10-24
ed0baa3c7a821aa7,迪鑫阳光天宸 4室2厅 139平米,江津,江津-江津,4室2厅,139㎡,,,80万,,2024-07-09
