house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
f9010bd8224aef3f,鲁能泰山7号十一街区 4室2厅 123.71平米,两江新区,两江新区-中央公园,4室2厅,123.71㎡,共11层,北,140万,,2025-10-29
f9010bd8224aef3f,鲁能泰山7号十一街区 4室2厅 123.71平米,两江新区,两江新区-中央公园,4室2厅,123.71㎡,,北,139万,,2025-09-21
f9010bd8224aef3f,鲁能泰山7号十一街区 4室2厅 148.3平米,两江新区,两江新区-中央公园,4室2厅,148.3㎡,4层,北,200万,,2025-08-01
f9010bd8224aef3f,鲁能泰山7号十一街区 3室2厅 117.81平米,两江新区,两江新区-中央公园,3室2厅,117.81㎡,7层,北,166万,,2025-07-04
f9010bd8224aef3f,鲁能泰山7号十一街区 3室1厅 123.71平米,两江新区,两江新区-中央公园,3室1厅,123.71㎡,,北,156万,,2025-05-09
f9010bd8224aef3f,鲁能泰山7号十一街区 5室2厅 142.18平米,两江新区,两江新区-中央公园,5室2厅,142.18㎡,,北,196万,,2025-02-23
f9010bd8224aef3f,鲁能泰山7号十一街区 4室2厅 142.19平米,两江新区,两江新区-中央公园,4室2厅,142.19㎡,,北,245万,,2024-12-12
f9010bd8224aef3f,鲁能泰山7号十一街区 5室2厅 148平米,两江新区,两江新区-中央公园,5室2厅,148㎡,5层,,230万,,2024-11-04
f9010bd8224aef3f,鲁能泰山7号十一街区 3室2厅 115平米,两江新区,两江新区-中央公园,3室2厅,115㎡,,北,155万,,2024-05-06
f9010bd8224aef3f,鲁能泰山7号十一街区 4室2厅 142.19平米,两江新区,两江新区-中央公园,4室2厅,142.19㎡,,,257万,,2024-04-25
f9010bd8224aef3f,鲁能泰山7号十一街区 4室2厅 123.74平米,两江新区,两江新区-中央公园,4室2厅,123.74㎡,,北,163万,,2024-02-20
f9010bd8224aef3f,鲁能泰山7号十一街区 4室2厅 123平米,两江新区,两江新区-中央公园,4室2厅,123㎡,,北,219万,,2023-02-27
001d8ec980329782,桃源居国际花园 3室2厅 94.22平米,两江新区,两江新区-两路,3室2厅,94.22㎡,17层,北,80万,,2025-07-31
001d8ec980329782,桃源居国际花园 2室1厅 83.5平米,两江新区,两江新区-两路,2室1厅,83.5㎡,,北,77万,,2025-06-15
001d8ec980329782,桃源居国际花园七区 3室1厅 110.62平米,两江新区,两江新区-两路,3室1厅,110.62㎡,,北,90万,,2025-05-25
001d8ec980329782,桃源居国际花园 4室2厅 159.85平米,两江新区,两江新区-两路,4室2厅,159.85㎡,5层,北,193万,,2025-04-09
001d8ec980329782,桃源居国际花园 4室2厅 326.47平米,两江新区,两江新区-两路,4室2厅,326.47㎡,18层,北,167万,,2025-03-28
001d8ec980329782,桃源居国际花园 5室2厅 180.59平米,两江新区,两江新区-两路,5室2厅,180.59㎡,18层,北,220万,,2025-03-27
001d8ec980329782,桃源居国际花园 4室2厅 123.95平米,两江新区,两江新区-两路,4室2厅,123.95㎡,,北,103万,,2025-03-23
001d8ec980329782,桃源居国际花园 3室2厅 131.59平米,两江新区,两江新区-两路,3室2厅,131.59㎡,,北,126万,,2024-12-03
001d8ec980329782,桃源居国际花园 2室2厅 83.5平米,两江新区,两江新区-两路,2室2厅,83.5㎡,,北,74万,,2024-08-15
001d8ec980329782,桃源居国际花园 5室3厅 178.68平米,两江新区,两江新区-两路,5室3厅,178.68㎡,,,278万,,2024-05-29
001d8ec980329782,桃源居国际花园 4室1厅 135.06平米,两江新区,两江新区-两路,4室1厅,135.06㎡,,北,116万,,2024-05-24
001d8ec980329782,桃源居国际花园 4室2厅 155.76平米,两江新区,两江新区-两路,4室2厅,155.76㎡,,北,237万,,2024-01-11
001d8ec980329782,桃源居国际花园 2室1厅 84平米,两江新区,两江新区-两路,2室1厅,84㎡,,北,85万,,2023-10-07
001d8ec980329782,桃源居国际花园 4室2厅 132平米,两江新区,两江新区-两路,4室2厅,132㎡,,北,150万,,2023-09-06
001d8ec980329782,桃源居国际花园 3室2厅 122.13平米,两江新区,两江新区-两路,3室2厅,122.13㎡,,北,136万,,2023-07-17
001d8ec980329782,桃源居国际花园 3室2厅 92.23平米,两江新区,两江新区-两路,3室2厅,92.23㎡,,北,106万,,2023-07-15
001d8ec980329782,桃源居国际花园 3室2厅 94.22平米,两江新区,两江新区-两路,3室2厅,94.22㎡,,北,115万,,2023-05-17
001d8ec980329782,桃源居国际花园 3室2厅 82.3平米,两江新区,两江新区-两路,3室2厅,82.3㎡,,北,105万,,2023-04-01
001d8ec980329782,桃源居国际花园 3室1厅 94平米,两江新区,两江新区-两路,3室1厅,94㎡,,北,130万,,2023-02-02
a49096574ba0269e,高科江澜二期一组团 5室2厅 180平米,两江新区,两江新区-礼嘉,5室2厅,180㎡,4层,北,270万,,2025-03-22
a49096574ba0269e,高科江澜二期一组团 4室2厅 145.27平米,两江新区,两江新区-礼嘉,4室2厅,145.27㎡,,北,262万,,2025-02-20
a49096574ba0269e,高科江澜二期一组团 5室2厅 166.35平米,两江新区,两江新区-礼嘉,5室2厅,166.35㎡,,北,345万,,2025-01-20
a49096574ba0269e,高科江澜二期一组团 4室2厅 145.27平米,两江新区,两江新区-礼嘉,4室2厅,145.27㎡,,北,246万,,2024-08-30
a49096574ba0269e,高科江澜二期一组团 4室2厅 166.35平米,两江新区,两江新区-礼嘉,4室2厅,166.35㎡,,北,358万,,2024-08-04
a49096574ba0269e,高科江澜二期一组团 4室2厅 160.81平米,两江新区,两江新区-礼嘉,4室2厅,160.81㎡,,北,258万,,2024-06-07
a49096574ba0269e,高科江澜二期一组团 5室2厅 166.31平米,两江新区,两江新区-礼嘉,5室2厅,166.31㎡,,,321万,,2024-05-29
a49096574ba0269e,高科江澜二期一组团 4室2厅 206.9平米,两江新区,两江新区-礼嘉,4室2厅,206.9㎡,,,382万,,2024-04-16
a49096574ba0269e,高科江澜二期一组团 4室2厅 180.27平米,两江新区,两江新区-礼嘉,4室2厅,180.27㎡,,,280万,,2024-03-25
a49096574ba0269e,高科江澜二期一组团 4室2厅 206.9平米,两江新区,两江新区-礼嘉,4室2厅,206.9㎡,,,388万,,2024-03-02
a49096574ba0269e,高科江澜二期一组团 4室2厅 166.35平米,两江新区,两江新区-礼嘉,4室2厅,166.35㎡,,,363万,,2024-02-21
a49096574ba0269e,高科江澜二期一组团 5室2厅 160.81平米,两江新区,两江新区-礼嘉,5室2厅,160.81㎡,,,256万,,2023-11-25
a49096574ba0269e,高科江澜二期一组团 5室2厅 145.27平米,两江新区,两江新区-礼嘉,5室2厅,145.27㎡,,,268万,,2023-11-19
a49096574ba0269e,高科江澜二期一组团 5室2厅 224.11平米,两江新区,两江新区-礼嘉,5室2厅,224.11㎡,,,536万,,2023-08-16
a49096574ba0269e,高科江澜二期一组团 5室2厅 166平米,两江新区,两江新区-礼嘉,5室2厅,166㎡,,,372万,,2023-07-17
a49096574ba0269e,高科江澜二期一组团 5室2厅 160平米,两江新区,两江新区-礼嘉,5室2厅,160㎡,,,295万,,2023-07-15
a49096574ba0269e,高科江澜二期一组团 5室3厅 166平米,两江新区,两江新区-礼嘉,5室3厅,166㎡,,,393万,,2023-05-31
a49096574ba0269e,高科江澜二期一组团 4室2厅 160.72平米,两江新区,两江新区-礼嘉,4室2厅,160.72㎡,,,255万,,2023-04-30
a49096574ba0269e,高科江澜二期一组团 5室2厅 224.71平米,两江新区,两江新区-礼嘉,5室2厅,224.71㎡,,,538万,,2023-04-11
a49096574ba0269e,高科江澜二期一组团 4室2厅 160平米,两江新区,两江新区-礼嘉,4室2厅,160㎡,,,298万,,2023-03-25
a49096574ba0269e,高科江澜二期一组团 5室2厅 145平米,两江新区,两江新区-礼嘉,5室2厅,145㎡,,,302万,,2023-02-04
6f893c66e3dc1da9,北大资源悦来B区 4室2厅 136.69平米,两江新区,两江新区-悦来,4室2厅,136.69㎡,共4层,北,165万,,2025-10-26
6f893c66e3dc1da9,北大资源悦来B区 5室2厅 161.66平米,两江新区,两江新区-悦来,5室2厅,161.66㎡,,北,200万,,2025-08-22
6f893c66e3dc1da9,北大资源悦来B区 4室2厅 161.66平米,两江新区,两江新区-悦来,4室2厅,161.66㎡,4层,北,173万,,2025-07-07
6f893c66e3dc1da9,北大资源悦来B区 5室2厅 140.6平米,两江新区,两江新区-悦来,5室2厅,140.6㎡,,北,180万,,2025-06-10
6f893c66e3dc1da9,北大资源悦来B区 4室2厅 143.6平米,两江新区,两江新区-悦来,4室2厅,143.6㎡,,北,210万,,2025-04-05
6f893c66e3dc1da9,北大资源悦来B区 5室2厅 165.65平米,两江新区,两江新区-悦来,5室2厅,165.65㎡,,北,223万,,2025-04-01
6f893c66e3dc1da9,北大资源悦来B区 4室2厅 141.68平米,两江新区,两江新区-悦来,4室2厅,141.68㎡,,北,188万,,2025-02-17
6f893c66e3dc1da9,北大资源悦来B区 4室2厅 143.6平米,两江新区,两江新区-悦来,4室2厅,143.6㎡,,北,282万,,2024-10-30
6f893c66e3dc1da9,北大资源悦来B区 5室2厅 162.44平米,两江新区,两江新区-悦来,5室2厅,162.44㎡,,北,236万,,2024-10-19
6f893c66e3dc1da9,北大资源悦来B区 5室3厅 136.72平米,两江新区,两江新区-悦来,5室3厅,136.72㎡,,北,218万,,2024-05-27
6f893c66e3dc1da9,北大资源悦来B区 6室2厅 143.6平米,两江新区,两江新区-悦来,6室2厅,143.6㎡,,北,225万,,2024-04-23
6f893c66e3dc1da9,北大资源悦来B区 5室2厅 136.05平米,两江新区,两江新区-悦来,5室2厅,136.05㎡,,北,220万,,2023-12-10
6f893c66e3dc1da9,北大资源悦来B区 5室3厅 140.6平米,两江新区,两江新区-悦来,5室3厅,140.6㎡,,北,230万,,2023-10-15
6f893c66e3dc1da9,北大资源悦来B区 5室2厅 141.66平米,两江新区,两江新区-悦来,5室2厅,141.66㎡,,北,236万,,2023-10-02
6f893c66e3dc1da9,北大资源悦来B区 5室2厅 143.6平米,两江新区,两江新区-悦来,5室2厅,143.6㎡,,北,235万,,2023-07-04
6f893c66e3dc1da9,北大资源悦来B区 5室2厅 133.09平米,两江新区,两江新区-悦来,5室2厅,133.09㎡,,北,252万,,2023-05-14
6f893c66e3dc1da9,北大资源悦来B区 5室2厅 141.66平米,两江新区,两江新区-悦来,5室2厅,141.66㎡,,北,240万,,2023-04-02
6f893c66e3dc1da9,北大资源悦来B区 4室1厅 136.72平米,两江新区,两江新区-悦来,4室1厅,136.72㎡,,北,217万,,2023-02-26
6f893c66e3dc1da9,北大资源悦来B区 4室2厅 158.49平米,两江新区,两江新区-悦来,4室2厅,158.49㎡,,北,238万,,2023-02-21
6f893c66e3dc1da9,北大资源悦来B区 4室2厅 133.09平米,两江新区,两江新区-悦来,4室2厅,133.09㎡,,北,232万,,2023-02-07
b70ccf42d86de9a2,金科天元道C区 4室2厅 120.54平米,两江新区,两江新区-大竹林,4室2厅,120.54㎡,,北,153万,,2025-03-10
b70ccf42d86de9a2,金科天元道C区 4室1厅 117.71平米,两江新区,两江新区-大竹林,4室1厅,117.71㎡,4层,北,255万,,2025-01-04
b70ccf42d86de9a2,金科天元道C区 3室1厅 124.15平米,两江新区,两江新区-大竹林,3室1厅,124.15㎡,,北,235万,,2024-09-29
b70ccf42d86de9a2,金科天元道C区 4室1厅 120.27平米,两江新区,两江新区-大竹林,4室1厅,120.27㎡,,北,166万,,2024-08-30
b70ccf42d86de9a2,金科天元道C区 4室2厅 120.77平米,两江新区,两江新区-大竹林,4室2厅,120.77㎡,,北,190万,,2024-06-19
b70ccf42d86de9a2,金科天元道C区 4室2厅 123.88平米,两江新区,两江新区-大竹林,4室2厅,123.88㎡,,,223万,,2024-05-27
b70ccf42d86de9a2,金科天元道C区 4室2厅 125.27平米,两江新区,两江新区-大竹林,4室2厅,125.27㎡,,北,186万,,2024-03-23
b70ccf42d86de9a2,金科天元道C区 4室2厅 121.31平米,两江新区,两江新区-大竹林,4室2厅,121.31㎡,,,193万,,2024-03-18
b70ccf42d86de9a2,金科天元道C区 4室2厅 120.54平米,两江新区,两江新区-大竹林,4室2厅,120.54㎡,,北,179万,,2024-01-04
b70ccf42d86de9a2,金科天元道C区 4室2厅 120.27平米,两江新区,两江新区-大竹林,4室2厅,120.27㎡,,北,192万,,2023-10-31
b70ccf42d86de9a2,金科天元道C区 4室2厅 121.31平米,两江新区,两江新区-大竹林,4室2厅,121.31㎡,,北,335万,,2023-05-06
ce54ba40f0c76dbc,复地花屿城C区 4室2厅 138.61平米,两江新区,两江新区-回兴,4室2厅,138.61㎡,共4层,北,208万,,2025-11-01
ce54ba40f0c76dbc,复地花屿城D区（D5园墅） 4室2厅 151.01平米,两江新区,两江新区-回兴,4室2厅,151.01㎡,,北,146万,,2025-08-30
