house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
4b4dc8c1d07fd260,时代都汇A组团 3室2厅 81平米,南岸,南岸-茶园新区,3室2厅,81㎡,共26层,南,66万,,2025-10-21
4b4dc8c1d07fd260,时代都汇D组团 3室1厅 93.56平米,南岸,南岸-茶园新区,3室1厅,93.56㎡,,南,85万,,2025-10-08
4b4dc8c1d07fd260,时代都汇B组团 3室2厅 97.74平米,南岸,南岸-茶园新区,3室2厅,97.74㎡,,南,100万,,2025-09-27
4b4dc8c1d07fd260,时代都汇A组团 3室1厅 80.33平米,南岸,南岸-茶园新区,3室1厅,80.33㎡,,南,57万,,2025-09-20
4b4dc8c1d07fd260,时代都汇F组团 3室2厅 82.85平米,南岸,南岸-茶园新区,3室2厅,82.85㎡,,南,75万,,2025-09-20
4b4dc8c1d07fd260,时代都汇A组团 2室2厅 80.14平米,南岸,南岸-茶园新区,2室2厅,80.14㎡,,南,57万,,2025-09-18
4b4dc8c1d07fd260,时代都汇A组团 3室2厅 99.36平米,南岸,南岸-茶园新区,3室2厅,99.36㎡,,南,72万,,2025-09-17
4b4dc8c1d07fd260,时代都汇C组团 3室2厅 87.65平米,南岸,南岸-茶园新区,3室2厅,87.65㎡,,南,82万,,2025-08-25
4b4dc8c1d07fd260,时代都汇B组团 3室2厅 97.74平米,南岸,南岸-茶园新区,3室2厅,97.74㎡,,南,84万,,2025-08-15
4b4dc8c1d07fd260,时代都汇E组团 3室2厅 93.38平米,南岸,南岸-茶园新区,3室2厅,93.38㎡,,南,92万,,2025-08-13
4b4dc8c1d07fd260,时代都汇A组团 3室2厅 81.51平米,南岸,南岸-茶园新区,3室2厅,81.51㎡,,南,63万,,2025-08-09
4b4dc8c1d07fd260,时代都汇F组团 3室2厅 94.87平米,南岸,南岸-茶园新区,3室2厅,94.87㎡,26层,南,77万,,2025-07-27
4b4dc8c1d07fd260,时代都汇A组团 3室2厅 76.69平米,南岸,南岸-茶园新区,3室2厅,76.69㎡,24层,南,74万,,2025-07-26
4b4dc8c1d07fd260,时代都汇E组团 3室1厅 93.3平米,南岸,南岸-茶园新区,3室1厅,93.3㎡,26层,南,85万,,2025-07-19
4b4dc8c1d07fd260,时代都汇C组团 2室1厅 60.67平米,南岸,南岸-茶园新区,2室1厅,60.67㎡,25层,南,51万,,2025-07-17
