house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
316089113c8aa49c,云星钱隆天誉 3室2厅 92.37平米,从化,从化-太平,3室2厅,92.37㎡,共24层,南,70万,,2025-11-21
316089113c8aa49c,云星钱隆天誉 3室2厅 91.34平米,从化,从化-太平,3室2厅,91.34㎡,共25层,北,73万,,2025-11-03
316089113c8aa49c,云星钱隆天誉 3室1厅 95.23平米,从化,从化-太平,3室1厅,95.23㎡,共24层,东北,61万,,2025-10-22
316089113c8aa49c,云星钱隆天誉 3室2厅 93.86平米,从化,从化-太平,3室2厅,93.86㎡,共24层,东南,66万,,2025-08-26
316089113c8aa49c,云星钱隆天誉 3室2厅 96.84平米,从化,从化-太平,3室2厅,96.84㎡,共25层,南,79万,,2025-07-28
316089113c8aa49c,云星钱隆天誉 3室2厅 92.37平米,从化,从化-太平,3室2厅,92.37㎡,共24层,南,70万,,2025-11-21
316089113c8aa49c,云星钱隆天誉 3室2厅 91.34平米,从化,从化-太平,3室2厅,91.34㎡,共25层,北,73万,,2025-11-03
316089113c8aa49c,云星钱隆天誉 3室1厅 95.23平米,从化,从化-太平,3室1厅,95.23㎡,共24层,东北,61万,,2025-10-22
316089113c8aa49c,云星钱隆天誉 3室2厅 93.86平米,从化,从化-太平,3室2厅,93.86㎡,共24层,东南,66万,,2025-08-26
316089113c8aa49c,云星钱隆天誉 3室2厅 96.84平米,从化,从化-太平,3室2厅,96.84㎡,共25层,南,79万,,2025-07-28
316089113c8aa49c,云星钱隆天誉 3室2厅 92.37平米,从化,从化-太平,3室2厅,92.37㎡,共24层,南,70万,,2025-11-21
316089113c8aa49c,云星钱隆天誉 3室2厅 91.34平米,从化,从化-太平,3室2厅,91.34㎡,共25层,北,73万,,2025-11-03
316089113c8aa49c,云星钱隆天誉 3室1厅 95.23平米,从化,从化-太平,3室1厅,95.23㎡,共24层,东北,61万,,2025-10-22
316089113c8aa49c,云星钱隆天誉 3室2厅 93.86平米,从化,从化-太平,3室2厅,93.86㎡,共24层,东南,66万,,2025-08-26
316089113c8aa49c,云星钱隆天誉 3室2厅 96.84平米,从化,从化-太平,3室2厅,96.84㎡,共25层,南,79万,,2025-07-28
316089113c8aa49c,云星钱隆天誉 3室2厅 92.37平米,从化,从化-太平,3室2厅,92.37㎡,共24层,南,70万,,2025-11-21
316089113c8aa49c,云星钱隆天誉 3室2厅 91.34平米,从化,从化-太平,3室2厅,91.34㎡,共25层,北,73万,,2025-11-03
316089113c8aa49c,云星钱隆天誉 3室1厅 95.23平米,从化,从化-太平,3室1厅,95.23㎡,共24层,东北,61万,,2025-10-22
316089113c8aa49c,云星钱隆天誉 3室2厅 93.86平米,从化,从化-太平,3室2厅,93.86㎡,共24层,东南,66万,,2025-08-26
316089113c8aa49c,云星钱隆天誉 3室2厅 96.84平米,从化,从化-太平,3室2厅,96.84㎡,共25层,南,79万,,2025-07-28
316089113c8aa49c,云星钱隆天誉 3室2厅 92.37平米,从化,从化-太平,3室2厅,92.37㎡,共24层,南,70万,,2025-11-21
316089113c8aa49c,云星钱隆天誉 3室2厅 91.34平米,从化,从化-太平,3室2厅,91.34㎡,共25层,北,73万,,2025-11-03
316089113c8aa49c,云星钱隆天誉 3室1厅 95.23平米,从化,从化-太平,3室1厅,95.23㎡,共24层,东北,61万,,2025-10-22
316089113c8aa49c,云星钱隆天誉 3室2厅 93.86平米,从化,从化-太平,3室2厅,93.86㎡,共24层,东南,66万,,2025-08-26
316089113c8aa49c,云星钱隆天誉 3室2厅 96.84平米,从化,从化-太平,3室2厅,96.84㎡,共25层,南,79万,,2025-07-28
316089113c8aa49c,云星钱隆天誉 3室2厅 92.37平米,从化,从化-太平,3室2厅,92.37㎡,共24层,南,70万,,2025-11-21
316089113c8aa49c,云星钱隆天誉 3室2厅 91.34平米,从化,从化-太平,3室2厅,91.34㎡,共25层,北,73万,,2025-11-03
316089113c8aa49c,云星钱隆天誉 3室1厅 95.23平米,从化,从化-太平,3室1厅,95.23㎡,共24层,东北,61万,,2025-10-22
