house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
233f7908e62bc269,骏辉园 3室2厅 142.76平米,花都,花都-旧区,3室2厅,142.76㎡,共7层,南北,106万,,2025-11-17
233f7908e62bc269,骏辉园 4室2厅 174.9平米,花都,花都-旧区,4室2厅,174.9㎡,共8层,南,130万,,2025-10-07
233f7908e62bc269,骏辉园 4室2厅 174.95平米,花都,花都-旧区,4室2厅,174.95㎡,共8层,东南,144万,,2023-10-16
17a45fa655d0ddcb,雅图奥园 5室2厅 258.85平米,花都,花都-旧区,5室2厅,258.85㎡,共3层,南,580万,,2025-11-17
17a45fa655d0ddcb,雅图奥园 5室2厅 220平米,花都,花都-旧区,5室2厅,220㎡,共3层,南,284万,,2024-01-09
17a45fa655d0ddcb,雅图奥园 5室2厅 343平米,花都,花都-旧区,5室2厅,343㎡,共4层,东南,397万,,2023-11-17
17a45fa655d0ddcb,雅图奥园 5室2厅 343平米,花都,花都-旧区,5室2厅,343㎡,共3层,东南,400万,,2023-11-11
192c9053a967032d,豪逸名苑 1室1厅 42.17平米,花都,花都-铁路西,1室1厅,42.17㎡,共18层,西,31万,,2025-11-17
192c9053a967032d,豪逸名苑 3室2厅 90.37平米,花都,花都-铁路西,3室2厅,90.37㎡,共18层,西,72万,,2025-11-04
192c9053a967032d,豪逸名苑 2室1厅 84.39平米,花都,花都-铁路西,2室1厅,84.39㎡,共18层,西,63万,,2025-08-18
192c9053a967032d,豪逸名苑 3室2厅 92.51平米,花都,花都-铁路西,3室2厅,92.51㎡,共18层,西,84万,,2025-05-26
192c9053a967032d,豪逸名苑 3室1厅 93平米,花都,花都-铁路西,3室1厅,93㎡,共18层,西,88万,,2025-05-24
192c9053a967032d,豪逸名苑 2室1厅 47.5平米,花都,花都-铁路西,2室1厅,47.5㎡,共18层,西,39万,,2025-05-18
192c9053a967032d,豪逸名苑 2室1厅 88.39平米,花都,花都-铁路西,2室1厅,88.39㎡,共18层,西,73万,,2025-04-07
192c9053a967032d,豪逸名苑 3室1厅 92.48平米,花都,花都-铁路西,3室1厅,92.48㎡,共18层,西,85万,,2024-12-25
192c9053a967032d,豪逸名苑 3室2厅 93.32平米,花都,花都-铁路西,3室2厅,93.32㎡,共18层,西,92万,,2024-11-01
192c9053a967032d,豪逸名苑 3室2厅 91.3平米,花都,花都-铁路西,3室2厅,91.3㎡,共18层,西,100万,,2024-10-18
