house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
fbd7fcac6ad5c738,体育西苑 3室2厅 110.47平米,天河,天河-体育中心,3室2厅,110.47㎡,共38层,西,500万,,2025-11-17
fbd7fcac6ad5c738,体育西苑 2室1厅 75.47平米,天河,天河-体育中心,2室1厅,75.47㎡,共38层,西,333万,,2025-11-09
fbd7fcac6ad5c738,体育西苑 2室1厅 73.34平米,天河,天河-体育中心,2室1厅,73.34㎡,共38层,西,335万,,2025-09-14
fbd7fcac6ad5c738,体育西苑 2室1厅 73.34平米,天河,天河-体育中心,2室1厅,73.34㎡,共38层,西,355万,,2025-09-09
fbd7fcac6ad5c738,体育西苑 3室2厅 132.86平米,天河,天河-体育中心,3室2厅,132.86㎡,共38层,西,760万,,2025-03-26
fbd7fcac6ad5c738,体育西苑 2室1厅 73.34平米,天河,天河-体育中心,2室1厅,73.34㎡,共38层,西,385万,,2025-03-05
fbd7fcac6ad5c738,体育西苑 3室2厅 132.86平米,天河,天河-体育中心,3室2厅,132.86㎡,,西,1005万,,2023-07-29
fbd7fcac6ad5c738,体育西苑 2室1厅 75.47平米,天河,天河-体育中心,2室1厅,75.47㎡,共38层,西,472万,,2023-06-08
fbd7fcac6ad5c738,体育西苑 2室2厅 73.34平米,天河,天河-体育中心,2室2厅,73.34㎡,共38层,西,586万,,2023-03-08
fbd7fcac6ad5c738,体育西苑 3室2厅 110.48平米,天河,天河-体育中心,3室2厅,110.48㎡,共38层,西,850万,,2023-03-06
fbd7fcac6ad5c738,体育西苑 2室1厅 75.47平米,天河,天河-体育中心,2室1厅,75.47㎡,共38层,西,555万,,2023-02-20
fbd7fcac6ad5c738,体育西苑 3室1厅 75.47平米,天河,天河-体育中心,3室1厅,75.47㎡,共38层,西,551万,,2023-02-18
dc8ee44d076425be,富力天朗明居 1室1厅 45.86平米,天河,天河-车陂,1室1厅,45.86㎡,共26层,东,148万,,2025-11-17
dc8ee44d076425be,富力天朗明居 2室2厅 69.76平米,天河,天河-车陂,2室2厅,69.76㎡,共18层,东,184万,,2025-11-17
dc8ee44d076425be,富力天朗明居 1室1厅 46.34平米,天河,天河-车陂,1室1厅,46.34㎡,共26层,西南,140万,,2025-11-02
dc8ee44d076425be,富力天朗明居 2室1厅 64.84平米,天河,天河-车陂,2室1厅,64.84㎡,共18层,南,178万,,2025-10-27
dc8ee44d076425be,富力天朗明居 12.19平米,天河,天河-车陂,,12.19㎡,,南,18万,,2025-09-28
dc8ee44d076425be,富力天朗明居 2室1厅 78.16平米,天河,天河-车陂,2室1厅,78.16㎡,共18层,西,215万,,2025-09-26
dc8ee44d076425be,富力天朗明居 2室1厅 67.48平米,天河,天河-车陂,2室1厅,67.48㎡,共18层,南,216万,,2025-09-23
dc8ee44d076425be,富力天朗明居 2室1厅 84.96平米,天河,天河-车陂,2室1厅,84.96㎡,共18层,东,230万,,2025-09-21
dc8ee44d076425be,富力天朗明居 2室1厅 71.95平米,天河,天河-车陂,2室1厅,71.95㎡,共18层,东,186万,,2025-09-21
dc8ee44d076425be,富力天朗明居 2室2厅 84.05平米,天河,天河-车陂,2室2厅,84.05㎡,共18层,东,233万,,2025-09-19
dc8ee44d076425be,富力天朗明居 12.19平米,天河,天河-车陂,,12.19㎡,,南,18万,,2025-09-07
dc8ee44d076425be,富力天朗明居 2室2厅 78.19平米,天河,天河-车陂,2室2厅,78.19㎡,共18层,西,240万,,2025-08-31
dc8ee44d076425be,富力天朗明居 1室1厅 46.34平米,天河,天河-车陂,1室1厅,46.34㎡,共26层,西南,152万,,2025-08-28
dc8ee44d076425be,富力天朗明居 1室1厅 25.11平米,天河,天河-车陂,1室1厅,25.11㎡,共18层,南,73万,,2025-08-25
dc8ee44d076425be,富力天朗明居 4室2厅 80.8平米,天河,天河-车陂,4室2厅,80.8㎡,共18层,东,308万,,2025-08-24
dc8ee44d076425be,富力天朗明居 12.19平米,天河,天河-车陂,,12.19㎡,,东南,18万,,2025-08-23
dc8ee44d076425be,富力天朗明居 2室1厅 75.51平米,天河,天河-车陂,2室1厅,75.51㎡,共18层,东,230万,,2025-07-13
dc8ee44d076425be,富力天朗明居 11.75平米,天河,天河-车陂,,11.75㎡,,南,18万,,2025-07-12
dc8ee44d076425be,富力天朗明居 3室2厅 94.5平米,天河,天河-车陂,3室2厅,94.5㎡,共18层,南,305万,,2025-07-05
dc8ee44d076425be,富力天朗明居 2室1厅 70.72平米,天河,天河-车陂,2室1厅,70.72㎡,共18层,南,202万,,2025-06-29
dc8ee44d076425be,富力天朗明居 2室1厅 65.84平米,天河,天河-车陂,2室1厅,65.84㎡,共18层,南,215万,,2025-06-07
dc8ee44d076425be,富力天朗明居 2室1厅 77.36平米,天河,天河-车陂,2室1厅,77.36㎡,共26层,东北,243万,,2025-05-29
dc8ee44d076425be,富力天朗明居 4室2厅 126.96平米,天河,天河-车陂,4室2厅,126.96㎡,共20层,东,380万,,2025-05-27
dc8ee44d076425be,富力天朗明居 1室1厅 43.58平米,天河,天河-车陂,1室1厅,43.58㎡,共18层,西,143万,,2025-05-15
dc8ee44d076425be,富力天朗明居 2室2厅 65.84平米,天河,天河-车陂,2室2厅,65.84㎡,共18层,南,207万,,2025-05-12
dc8ee44d076425be,富力天朗明居 2室2厅 65.68平米,天河,天河-车陂,2室2厅,65.68㎡,共26层,北,209万,,2025-05-11
dc8ee44d076425be,富力天朗明居 3室1厅 104.18平米,天河,天河-车陂,3室1厅,104.18㎡,共18层,南,320万,,2025-05-10
dc8ee44d076425be,富力天朗明居 2室1厅 64.25平米,天河,天河-车陂,2室1厅,64.25㎡,共26层,东,223万,,2025-04-29
dc8ee44d076425be,富力天朗明居 4室2厅 91.27平米,天河,天河-车陂,4室2厅,91.27㎡,共18层,南,288万,,2025-04-18
