house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
8477ec02a707d08f,水荫直街 3室1厅 96.25平米,越秀,越秀-水荫路,3室1厅,96.25㎡,共8层,东北,320万,,2025-11-17
8477ec02a707d08f,水荫直街 3室1厅 61.61平米,越秀,越秀-水荫路,3室1厅,61.61㎡,共8层,东南,160万,,2025-09-23
8477ec02a707d08f,水荫直街 3室2厅 95.87平米,越秀,越秀-水荫路,3室2厅,95.87㎡,共8层,南,419万,,2025-08-17
8477ec02a707d08f,水荫直街 2室1厅 55.57平米,越秀,越秀-水荫路,2室1厅,55.57㎡,共8层,东,230万,,2025-08-17
8477ec02a707d08f,水荫直街 2室1厅 77.34平米,越秀,越秀-水荫路,2室1厅,77.34㎡,共9层,东南,268万,,2025-07-17
8477ec02a707d08f,水荫直街 2室1厅 77.7平米,越秀,越秀-水荫路,2室1厅,77.7㎡,共9层,西南,300万,,2025-07-11
8477ec02a707d08f,水荫直街 3室1厅 79.21平米,越秀,越秀-水荫路,3室1厅,79.21㎡,共9层,南,249万,,2025-06-11
8477ec02a707d08f,水荫直街 3室1厅 81.06平米,越秀,越秀-水荫路,3室1厅,81.06㎡,共8层,西南,323万,,2025-05-11
8477ec02a707d08f,水荫直街 2室1厅 59.86平米,越秀,越秀-水荫路,2室1厅,59.86㎡,共8层,东北,235万,,2025-03-19
8477ec02a707d08f,水荫直街 2室1厅 61.87平米,越秀,越秀-水荫路,2室1厅,61.87㎡,共9层,北,220万,,2025-03-05
8477ec02a707d08f,水荫直街 3室1厅 75.95平米,越秀,越秀-水荫路,3室1厅,75.95㎡,共9层,东南,290万,,2025-02-26
8477ec02a707d08f,水荫直街 4室2厅 145.2平米,越秀,越秀-水荫路,4室2厅,145.2㎡,共8层,南,608万,,2025-02-08
8477ec02a707d08f,水荫直街 3室2厅 63.22平米,越秀,越秀-水荫路,3室2厅,63.22㎡,共8层,东南,262万,,2025-01-09
8477ec02a707d08f,水荫直街 3室2厅 143.58平米,越秀,越秀-水荫路,3室2厅,143.58㎡,共8层,南,610万,,2024-12-22
8477ec02a707d08f,水荫直街 3室1厅 82.62平米,越秀,越秀-水荫路,3室1厅,82.62㎡,共8层,东南,386万,,2024-12-14
8477ec02a707d08f,水荫直街 3室1厅 80.56平米,越秀,越秀-水荫路,3室1厅,80.56㎡,共9层,西南,241万,,2024-12-11
8477ec02a707d08f,水荫直街 2室1厅 23.99平米,越秀,越秀-水荫路,2室1厅,23.99㎡,共8层,北,118万,,2024-11-17
8477ec02a707d08f,水荫直街 2室1厅 56.48平米,越秀,越秀-水荫路,2室1厅,56.48㎡,共9层,南,201万,,2024-11-10
8477ec02a707d08f,水荫直街 2室2厅 73.21平米,越秀,越秀-水荫路,2室2厅,73.21㎡,共8层,东南,262万,,2024-10-30
