house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
f596afe40498034b,虹林新苑 2室2厅 116.2平米,长宁,长宁-西郊,2室2厅,116.2㎡,共4层,西,756万,,2025-07-23
f596afe40498034b,虹林新苑 2室2厅 112.8平米,长宁,长宁-西郊,2室2厅,112.8㎡,共4层,西,760万,,2024-12-11
f596afe40498034b,虹林新苑 2室2厅 112.8平米,长宁,长宁-西郊,2室2厅,112.8㎡,共4层,西,770万,,2024-05-19
f596afe40498034b,虹林新苑 2室1厅 115.5平米,长宁,长宁-西郊,2室1厅,115.5㎡,,西,965万,,2023-08-23
f596afe40498034b,虹林新苑 2室2厅 103.41平米,长宁,长宁-西郊,2室2厅,103.41㎡,,西,888万,,2023-02-25
ed18405fc8791c08,遵义小区 1室1厅 35.61平米,长宁,长宁-天山,1室1厅,35.61㎡,共6层,南,171万,,2025-07-29
ed18405fc8791c08,遵义小区 25.56平米,长宁,长宁-天山,,25.56㎡,共4层,西,133万,,2025-07-07
ed18405fc8791c08,遵义小区 21.99平米,长宁,长宁-天山,,21.99㎡,共4层,北,127万,,2025-06-28
ed18405fc8791c08,遵义小区 1室1厅 23.53平米,长宁,长宁-天山,1室1厅,23.53㎡,共4层,北,145万,,2025-04-06
ed18405fc8791c08,遵义小区 2室1厅 61.44平米,长宁,长宁-天山,2室1厅,61.44㎡,共6层,东北,282万,,2025-02-16
ed18405fc8791c08,遵义小区 1室1厅 30.01平米,长宁,长宁-天山,1室1厅,30.01㎡,共4层,北,168万,,2025-01-22
ed18405fc8791c08,遵义小区 22.01平米,长宁,长宁-天山,,22.01㎡,共4层,北,130万,,2025-01-04
ed18405fc8791c08,遵义小区 29.18平米,长宁,长宁-天山,,29.18㎡,共4层,南,130万,,2024-12-17
ed18405fc8791c08,遵义小区 1室1厅 40.19平米,长宁,长宁-天山,1室1厅,40.19㎡,共6层,南,236万,,2024-11-16
ed18405fc8791c08,遵义小区 21.99平米,长宁,长宁-天山,,21.99㎡,共4层,北,128万,,2024-10-20
ed18405fc8791c08,遵义小区 35.97平米,长宁,长宁-天山,,35.97㎡,共4层,南,203万,,2024-06-22
ed18405fc8791c08,遵义小区 2室2厅 73.27平米,长宁,长宁-天山,2室2厅,73.27㎡,共6层,南,408万,,2024-05-21
ed18405fc8791c08,遵义小区 31.76平米,长宁,长宁-天山,,31.76㎡,,南,212万,,2023-08-13
ed18405fc8791c08,遵义小区 26.51平米,长宁,长宁-天山,,26.51㎡,共4层,东北,170万,,2023-07-30
ed18405fc8791c08,遵义小区 28.15平米,长宁,长宁-天山,,28.15㎡,共4层,西南,151万,,2023-07-26
ed18405fc8791c08,遵义小区 1室2厅 30.14平米,长宁,长宁-天山,1室2厅,30.14㎡,共4层,北,177万,,2023-05-13
ed18405fc8791c08,遵义小区 1室1厅 40.95平米,长宁,长宁-天山,1室1厅,40.95㎡,,南,320万,,2023-05-12
ed18405fc8791c08,遵义小区 22.83平米,长宁,长宁-天山,,22.83㎡,共5层,北,172万,,2023-04-02
ed18405fc8791c08,遵义小区 1室1厅 28.15平米,长宁,长宁-天山,1室1厅,28.15㎡,,南,179万,,2023-02-19
ed18405fc8791c08,遵义小区 2室1厅 61.59平米,长宁,长宁-天山,2室1厅,61.59㎡,,南,463万,,2023-02-18
74644fa33d4fcb95,中山西路424弄 1室1厅 43.4平米,长宁,长宁-天山,1室1厅,43.4㎡,共6层,西,202万,,2025-07-17
74644fa33d4fcb95,中山西路424弄 2室1厅 73.67平米,长宁,长宁-天山,2室1厅,73.67㎡,,西,555万,,2023-05-29
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 3室1厅 133.17平米,长宁,长宁-古北,3室1厅,133.17㎡,共11层,北,1042万,,2025-11-09
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 3室2厅 152.84平米,长宁,长宁-古北,3室2厅,152.84㎡,共11层,北,1232万,,2025-06-05
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 1室1厅 59.07平米,长宁,长宁-古北,1室1厅,59.07㎡,共8层,北,525万,,2025-03-23
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 2室2厅 111.42平米,长宁,长宁-古北,2室2厅,111.42㎡,共11层,北,1022万,,2025-03-02
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 3室2厅 130.66平米,长宁,长宁-古北,3室2厅,130.66㎡,共8层,北,1150万,,2025-01-11
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 3室2厅 152.48平米,长宁,长宁-古北,3室2厅,152.48㎡,共11层,北,1243万,,2024-12-18
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 4室2厅 184.72平米,长宁,长宁-古北,4室2厅,184.72㎡,共11层,北,1500万,,2024-10-16
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 3室2厅 151.44平米,长宁,长宁-古北,3室2厅,151.44㎡,共11层,北,1415万,,2024-10-16
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 3室2厅 140.18平米,长宁,长宁-古北,3室2厅,140.18㎡,共11层,北,1245万,,2024-10-06
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 2室2厅 99.8平米,长宁,长宁-古北,2室2厅,99.8㎡,共8层,北,885万,,2024-09-08
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 3室2厅 126.06平米,长宁,长宁-古北,3室2厅,126.06㎡,共11层,北,1060万,,2024-06-03
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 3室2厅 126.06平米,长宁,长宁-古北,3室2厅,126.06㎡,共11层,北,1120万,,2024-03-11
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 2室2厅 99.61平米,长宁,长宁-古北,2室2厅,99.61㎡,共8层,北,868万,,2023-12-08
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 3室2厅 143.6平米,长宁,长宁-古北,3室2厅,143.6㎡,共8层,北,1550万,,2023-09-05
bdbd13b3d96d2c1f,虹桥城市花园(公寓) 2室2厅 111.42平米,长宁,长宁-古北,2室2厅,111.42㎡,共11层,北,1243万,,2023-03-05
c103468921a1c17c,长宁支路310弄 2室1厅 61.93平米,长宁,长宁-中山公园,2室1厅,61.93㎡,共6层,南,387万,,2024-03-24
c103468921a1c17c,长宁支路310弄 2室1厅 61.93平米,长宁,长宁-中山公园,2室1厅,61.93㎡,共6层,南,402万,,2024-03-17
