house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
4711a9433d3eebf3,星苑小区 3室1厅 77.76平米,虹口,虹口-凉城,3室1厅,77.76㎡,共6层,南,355万,,2025-06-21
4711a9433d3eebf3,星苑小区 2室1厅 50.67平米,虹口,虹口-凉城,2室1厅,50.67㎡,共6层,南,218万,,2025-05-20
4711a9433d3eebf3,星苑小区 1室1厅 37.52平米,虹口,虹口-凉城,1室1厅,37.52㎡,共6层,南,139万,,2025-05-16
4711a9433d3eebf3,星苑小区 2室1厅 47.94平米,虹口,虹口-凉城,2室1厅,47.94㎡,共6层,南,235万,,2025-04-26
4711a9433d3eebf3,星苑小区 2室1厅 57.76平米,虹口,虹口-凉城,2室1厅,57.76㎡,共6层,南,275万,,2025-03-08
4711a9433d3eebf3,星苑小区 1室1厅 37.81平米,虹口,虹口-凉城,1室1厅,37.81㎡,共6层,南,163万,,2025-03-06
4711a9433d3eebf3,星苑小区 1室1厅 37.52平米,虹口,虹口-凉城,1室1厅,37.52㎡,共6层,南,160万,,2025-02-23
4711a9433d3eebf3,星苑小区 2室1厅 56.27平米,虹口,虹口-凉城,2室1厅,56.27㎡,共6层,南,273万,,2025-02-22
4711a9433d3eebf3,星苑小区 2室1厅 47.9平米,虹口,虹口-凉城,2室1厅,47.9㎡,共6层,南,207万,,2024-12-31
4711a9433d3eebf3,星苑小区 2室1厅 47.94平米,虹口,虹口-凉城,2室1厅,47.94㎡,共6层,南,241万,,2024-12-05
4711a9433d3eebf3,星苑小区 2室1厅 62.45平米,虹口,虹口-凉城,2室1厅,62.45㎡,共6层,西南,300万,,2024-11-11
4711a9433d3eebf3,星苑小区 2室1厅 61.71平米,虹口,虹口-凉城,2室1厅,61.71㎡,共6层,西南,308万,,2024-10-23
4711a9433d3eebf3,星苑小区 3室1厅 76.09平米,虹口,虹口-凉城,3室1厅,76.09㎡,共6层,南,378万,,2024-08-20
4711a9433d3eebf3,星苑小区 38.21平米,虹口,虹口-凉城,,38.21㎡,共6层,南,210万,,2024-07-09
4711a9433d3eebf3,星苑小区 1室1厅 35.69平米,虹口,虹口-凉城,1室1厅,35.69㎡,共6层,南,165万,,2024-07-02
4711a9433d3eebf3,星苑小区 2室1厅 50.67平米,虹口,虹口-凉城,2室1厅,50.67㎡,共6层,南,245万,,2024-07-01
4711a9433d3eebf3,星苑小区 2室1厅 72.35平米,虹口,虹口-凉城,2室1厅,72.35㎡,共6层,南,335万,,2024-04-05
4711a9433d3eebf3,星苑小区 3室1厅 76.54平米,虹口,虹口-凉城,3室1厅,76.54㎡,共6层,南,326万,,2024-03-21
4711a9433d3eebf3,星苑小区 2室1厅 48.77平米,虹口,虹口-凉城,2室1厅,48.77㎡,,南,247万,,2024-03-17
4711a9433d3eebf3,星苑小区 2室1厅 53.61平米,虹口,虹口-凉城,2室1厅,53.61㎡,共6层,南,296万,,2024-02-26
4711a9433d3eebf3,星苑小区 2室1厅 47.86平米,虹口,虹口-凉城,2室1厅,47.86㎡,共6层,南,243万,,2024-01-27
4711a9433d3eebf3,星苑小区 3室1厅 74.88平米,虹口,虹口-凉城,3室1厅,74.88㎡,共6层,北,345万,,2024-01-12
4711a9433d3eebf3,星苑小区 2室1厅 53.68平米,虹口,虹口-凉城,2室1厅,53.68㎡,共6层,南,340万,,2023-12-16
4711a9433d3eebf3,星苑小区 2室1厅 61.71平米,虹口,虹口-凉城,2室1厅,61.71㎡,共6层,南,335万,,2023-12-01
4711a9433d3eebf3,星苑小区 3室1厅 66.43平米,虹口,虹口-凉城,3室1厅,66.43㎡,共6层,南,342万,,2023-11-12
4711a9433d3eebf3,星苑小区 2室1厅 54.89平米,虹口,虹口-凉城,2室1厅,54.89㎡,共6层,南,290万,,2023-10-30
4711a9433d3eebf3,星苑小区 2室1厅 50.84平米,虹口,虹口-凉城,2室1厅,50.84㎡,共6层,南,280万,,2023-10-27
4711a9433d3eebf3,星苑小区 2室1厅 50.01平米,虹口,虹口-凉城,2室1厅,50.01㎡,共6层,南,325万,,2023-09-02
4711a9433d3eebf3,星苑小区 2室1厅 47.85平米,虹口,虹口-凉城,2室1厅,47.85㎡,共6层,南,326万,,2023-08-25
4711a9433d3eebf3,星苑小区 3室2厅 113.06平米,虹口,虹口-凉城,3室2厅,113.06㎡,,南,715万,,2023-06-19
4711a9433d3eebf3,星苑小区 47.85平米,虹口,虹口-凉城,,47.85㎡,共6层,南,328万,,2023-05-01
4711a9433d3eebf3,星苑小区 2室1厅 52.95平米,虹口,虹口-凉城,2室1厅,52.95㎡,,南,340万,,2023-03-05
4711a9433d3eebf3,星苑小区 2室1厅 47.9平米,虹口,虹口-凉城,2室1厅,47.9㎡,共6层,南,322万,,2023-02-28
4711a9433d3eebf3,星苑小区 2室1厅 53.61平米,虹口,虹口-凉城,2室1厅,53.61㎡,共6层,南,345万,,2023-02-22
4711a9433d3eebf3,星苑小区 2室1厅 53.86平米,虹口,虹口-凉城,2室1厅,53.86㎡,,南,340万,,2023-02-17
