house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
e3dd8433c47445d8,茂名大楼 1室1厅 56.91平米,黄浦,黄浦-新天地,1室1厅,56.91㎡,共16层,南,460万,,2024-01-29
e3dd8433c47445d8,茂名大楼 1室1厅 54.81平米,黄浦,黄浦-新天地,1室1厅,54.81㎡,共16层,南,460万,,2024-01-05
e3dd8433c47445d8,茂名大楼 1室1厅 56.91平米,黄浦,黄浦-新天地,1室1厅,56.91㎡,共16层,东,548万,,2023-02-10
e6e1fc31149203be,黄浦新苑西区 3室2厅 112.59平米,黄浦,黄浦-蓬莱公园,3室2厅,112.59㎡,共31层,西,1143万,,2025-07-05
e6e1fc31149203be,黄浦新苑东区 3室2厅 145.71平米,黄浦,黄浦-蓬莱公园,3室2厅,145.71㎡,共27层,东,1500万,,2024-12-31
e6e1fc31149203be,黄浦新苑西区 2室1厅 102.59平米,黄浦,黄浦-蓬莱公园,2室1厅,102.59㎡,共34层,西,1075万,,2024-12-18
e6e1fc31149203be,黄浦新苑东区 39.24平米,黄浦,黄浦-蓬莱公园,,39.24㎡,,东,60万,,2024-12-09
e6e1fc31149203be,黄浦新苑东区 2室2厅 112.77平米,黄浦,黄浦-蓬莱公园,2室2厅,112.77㎡,共25层,东,1217万,,2024-12-08
e6e1fc31149203be,黄浦新苑西区 4室2厅 169.2平米,黄浦,黄浦-蓬莱公园,4室2厅,169.2㎡,共11层,西,1570万,,2024-11-19
e6e1fc31149203be,黄浦新苑西区 3室2厅 129.03平米,黄浦,黄浦-蓬莱公园,3室2厅,129.03㎡,共31层,西,1480万,,2024-10-13
e6e1fc31149203be,黄浦新苑西区 3室2厅 119.69平米,黄浦,黄浦-蓬莱公园,3室2厅,119.69㎡,共28层,西,1120万,,2024-06-16
e6e1fc31149203be,黄浦新苑西区 2室2厅 100.61平米,黄浦,黄浦-蓬莱公园,2室2厅,100.61㎡,共34层,西,1030万,,2024-06-06
e6e1fc31149203be,黄浦新苑西区 2室1厅 90.82平米,黄浦,黄浦-蓬莱公园,2室1厅,90.82㎡,共30层,西,850万,,2024-03-11
e6e1fc31149203be,黄浦新苑西区 2室2厅 110.71平米,黄浦,黄浦-蓬莱公园,2室2厅,110.71㎡,共28层,西,1080万,,2023-12-17
e6e1fc31149203be,黄浦新苑西区 3室2厅 133.52平米,黄浦,黄浦-蓬莱公园,3室2厅,133.52㎡,共28层,西,1570万,,2023-09-04
e6e1fc31149203be,黄浦新苑西区 2室1厅 98.75平米,黄浦,黄浦-蓬莱公园,2室1厅,98.75㎡,共31层,西,1136万,,2023-08-05
e6e1fc31149203be,黄浦新苑西区 3室2厅 133.52平米,黄浦,黄浦-蓬莱公园,3室2厅,133.52㎡,共28层,西,1530万,,2023-05-20
e6e1fc31149203be,黄浦新苑西区 3室2厅 129.03平米,黄浦,黄浦-蓬莱公园,3室2厅,129.03㎡,共31层,西,1555万,,2023-05-10
e6e1fc31149203be,黄浦新苑东区 2室2厅 112.77平米,黄浦,黄浦-蓬莱公园,2室2厅,112.77㎡,,东,1480万,,2023-03-09
089bac319067364c,名盛苑 3室2厅 147.59平米,黄浦,黄浦-打浦桥,3室2厅,147.59㎡,共16层,南,1225万,,2025-06-02
089bac319067364c,名盛苑 2室2厅 104.26平米,黄浦,黄浦-打浦桥,2室2厅,104.26㎡,共18层,南,1186万,,2025-05-03
089bac319067364c,名盛苑 3室2厅 148.8平米,黄浦,黄浦-打浦桥,3室2厅,148.8㎡,共17层,南,1385万,,2025-03-29
089bac319067364c,名盛苑 4室2厅 156.47平米,黄浦,黄浦-打浦桥,4室2厅,156.47㎡,共17层,南,1616万,,2025-03-01
089bac319067364c,名盛苑 3室2厅 137.02平米,黄浦,黄浦-打浦桥,3室2厅,137.02㎡,共18层,南,1430万,,2024-11-03
089bac319067364c,名盛苑 3室2厅 148.8平米,黄浦,黄浦-打浦桥,3室2厅,148.8㎡,共17层,南,1580万,,2024-10-20
089bac319067364c,名盛苑 3室2厅 140.4平米,黄浦,黄浦-打浦桥,3室2厅,140.4㎡,共17层,南,1606万,,2024-08-29
089bac319067364c,名盛苑 3室2厅 139.65平米,黄浦,黄浦-打浦桥,3室2厅,139.65㎡,共18层,东,1490万,,2024-07-19
089bac319067364c,名盛苑 3室2厅 137.02平米,黄浦,黄浦-打浦桥,3室2厅,137.02㎡,共18层,南,1618万,,2023-10-07
089bac319067364c,名盛苑 4室2厅 224.66平米,黄浦,黄浦-打浦桥,4室2厅,224.66㎡,,南,2250万,,2023-09-16
089bac319067364c,名盛苑 2室2厅 107.31平米,黄浦,黄浦-打浦桥,2室2厅,107.31㎡,,南,1300万,,2023-06-24
089bac319067364c,名盛苑 3室2厅 130.94平米,黄浦,黄浦-打浦桥,3室2厅,130.94㎡,,南,1800万,,2023-04-13
11260d11a5354a45,融创滨江壹号院 4室2厅 216.22平米,黄浦,黄浦-世博滨江,4室2厅,216.22㎡,共29层,南,3750万,,2025-06-18
11260d11a5354a45,融创滨江壹号院 4室2厅 212.93平米,黄浦,黄浦-世博滨江,4室2厅,212.93㎡,共29层,南,3625万,,2024-12-18
11260d11a5354a45,融创滨江壹号院 3室2厅 169.78平米,黄浦,黄浦-世博滨江,3室2厅,169.78㎡,共38层,南,2739万,,2024-11-16
11260d11a5354a45,融创滨江壹号院 3室2厅 126.1平米,黄浦,黄浦-世博滨江,3室2厅,126.1㎡,共35层,东南,1500万,,2024-11-09
11260d11a5354a45,融创滨江壹号院 2室1厅 114.59平米,黄浦,黄浦-世博滨江,2室1厅,114.59㎡,共36层,南,1620万,,2024-11-07
11260d11a5354a45,融创滨江壹号院 4室2厅 264.41平米,黄浦,黄浦-世博滨江,4室2厅,264.41㎡,共27层,南,3350万,,2024-09-09
11260d11a5354a45,融创滨江壹号院 3室2厅 126.1平米,黄浦,黄浦-世博滨江,3室2厅,126.1㎡,共35层,南,1488万,,2024-06-07
11260d11a5354a45,融创滨江壹号院 3室2厅 189.94平米,黄浦,黄浦-世博滨江,3室2厅,189.94㎡,共36层,西南,2560万,,2024-04-15
11260d11a5354a45,融创滨江壹号院 3室2厅 218.91平米,黄浦,黄浦-世博滨江,3室2厅,218.91㎡,共38层,南,2790万,,2024-04-14
11260d11a5354a45,融创滨江壹号院 3室2厅 189.71平米,黄浦,黄浦-世博滨江,3室2厅,189.71㎡,共38层,南,2700万,,2024-04-07
e243be25f67103e6,中福花苑 1室2厅 48.65平米,黄浦,黄浦-黄浦滨江,1室2厅,48.65㎡,共15层,南,396万,,2025-07-24
e243be25f67103e6,中福花苑 1室1厅 42.46平米,黄浦,黄浦-黄浦滨江,1室1厅,42.46㎡,共15层,南,362万,,2025-06-14
e243be25f67103e6,中福花苑 1室1厅 42.46平米,黄浦,黄浦-黄浦滨江,1室1厅,42.46㎡,共15层,北,319万,,2025-06-11
e243be25f67103e6,中福花苑 1室1厅 42.46平米,黄浦,黄浦-黄浦滨江,1室1厅,42.46㎡,共15层,北,317万,,2025-06-07
e243be25f67103e6,中福花苑 2室2厅 79.98平米,黄浦,黄浦-黄浦滨江,2室2厅,79.98㎡,共19层,南,675万,,2025-05-30
e243be25f67103e6,中福花苑 1室2厅 42.46平米,黄浦,黄浦-黄浦滨江,1室2厅,42.46㎡,共15层,北,316万,,2025-04-10
e243be25f67103e6,中福花苑 1室2厅 59.6平米,黄浦,黄浦-黄浦滨江,1室2厅,59.6㎡,共19层,南,500万,,2025-02-18
e243be25f67103e6,中福花苑 1室1厅 42.46平米,黄浦,黄浦-黄浦滨江,1室1厅,42.46㎡,共15层,西,377万,,2024-12-20
e243be25f67103e6,中福花苑 1室1厅 43.23平米,黄浦,黄浦-黄浦滨江,1室1厅,43.23㎡,共15层,北,325万,,2024-12-13
e243be25f67103e6,中福花苑 2室2厅 79.98平米,黄浦,黄浦-黄浦滨江,2室2厅,79.98㎡,共19层,南,688万,,2024-12-05
e243be25f67103e6,中福花苑 2室2厅 79.98平米,黄浦,黄浦-黄浦滨江,2室2厅,79.98㎡,共19层,南,675万,,2024-11-30
e243be25f67103e6,中福花苑 1室2厅 49.22平米,黄浦,黄浦-黄浦滨江,1室2厅,49.22㎡,共15层,南,400万,,2024-11-29
e243be25f67103e6,中福花苑 2室1厅 56.99平米,黄浦,黄浦-黄浦滨江,2室1厅,56.99㎡,共19层,南,455万,,2024-10-25
e243be25f67103e6,中福花苑 1室1厅 42.46平米,黄浦,黄浦-黄浦滨江,1室1厅,42.46㎡,共15层,北,306万,,2024-10-19
e243be25f67103e6,中福花苑 2室1厅 40.31平米,黄浦,黄浦-黄浦滨江,2室1厅,40.31㎡,共15层,南,359万,,2024-10-13
e243be25f67103e6,中福花苑 1室2厅 42.46平米,黄浦,黄浦-黄浦滨江,1室2厅,42.46㎡,共15层,北,303万,,2024-10-08
e243be25f67103e6,中福花苑 1室2厅 42.46平米,黄浦,黄浦-黄浦滨江,1室2厅,42.46㎡,共15层,北,315万,,2024-10-05
e243be25f67103e6,中福花苑 1室1厅 46.21平米,黄浦,黄浦-黄浦滨江,1室1厅,46.21㎡,共19层,东南,280万,,2024-09-26
e243be25f67103e6,中福花苑 1室1厅 44.62平米,黄浦,黄浦-黄浦滨江,1室1厅,44.62㎡,共19层,南,305万,,2024-08-25
e243be25f67103e6,中福花苑 1室2厅 42.46平米,黄浦,黄浦-黄浦滨江,1室2厅,42.46㎡,共15层,南,350万,,2024-08-06
e243be25f67103e6,中福花苑 1室2厅 42.46平米,黄浦,黄浦-黄浦滨江,1室2厅,42.46㎡,共15层,南,360万,,2024-07-31
e243be25f67103e6,中福花苑 1室1厅 40.31平米,黄浦,黄浦-黄浦滨江,1室1厅,40.31㎡,共15层,南,376万,,2024-05-05
e243be25f67103e6,中福花苑 2室1厅 57.71平米,黄浦,黄浦-黄浦滨江,2室1厅,57.71㎡,共19层,东,590万,,2024-04-27
e243be25f67103e6,中福花苑 2室2厅 82.48平米,黄浦,黄浦-黄浦滨江,2室2厅,82.48㎡,,南,780万,,2024-03-17
