house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
1986a87d037cc20e,上海派 2室1厅 69.63平米,嘉定,嘉定-安亭,2室1厅,69.63㎡,共15层,南北,142万,,2025-11-09
1986a87d037cc20e,上海派 3室2厅 88.5平米,嘉定,嘉定-安亭,3室2厅,88.5㎡,共17层,南北,230万,,2025-11-09
1986a87d037cc20e,上海派 3室2厅 87.45平米,嘉定,嘉定-安亭,3室2厅,87.45㎡,共17层,南北,216万,,2025-11-03
1986a87d037cc20e,上海派 2室2厅 69.41平米,嘉定,嘉定-安亭,2室2厅,69.41㎡,共17层,南,162万,,2025-07-17
1986a87d037cc20e,上海派 3室2厅 87.95平米,嘉定,嘉定-安亭,3室2厅,87.95㎡,共17层,南,242万,,2025-07-13
1986a87d037cc20e,上海派 2室2厅 69.48平米,嘉定,嘉定-安亭,2室2厅,69.48㎡,共17层,南,161万,,2025-07-12
1986a87d037cc20e,上海派 3室2厅 88.26平米,嘉定,嘉定-安亭,3室2厅,88.26㎡,共16层,南,259万,,2025-07-06
1986a87d037cc20e,上海派 2室2厅 69.4平米,嘉定,嘉定-安亭,2室2厅,69.4㎡,共17层,南,178万,,2025-07-05
1986a87d037cc20e,上海派 3室2厅 87.5平米,嘉定,嘉定-安亭,3室2厅,87.5㎡,共17层,南,254万,,2025-06-21
1986a87d037cc20e,上海派 2室1厅 69.49平米,嘉定,嘉定-安亭,2室1厅,69.49㎡,共16层,南,169万,,2025-06-19
1986a87d037cc20e,上海派 3室2厅 87.55平米,嘉定,嘉定-安亭,3室2厅,87.55㎡,共17层,南,258万,,2025-06-16
1986a87d037cc20e,上海派 3室1厅 89.43平米,嘉定,嘉定-安亭,3室1厅,89.43㎡,共17层,南,242万,,2025-05-29
1986a87d037cc20e,上海派 3室2厅 88.5平米,嘉定,嘉定-安亭,3室2厅,88.5㎡,共17层,南,239万,,2025-05-26
1986a87d037cc20e,上海派 3室2厅 87.45平米,嘉定,嘉定-安亭,3室2厅,87.45㎡,共17层,南,244万,,2025-05-25
1986a87d037cc20e,上海派 2室2厅 69.63平米,嘉定,嘉定-安亭,2室2厅,69.63㎡,共17层,南,180万,,2025-05-24
1986a87d037cc20e,上海派 2室2厅 69.45平米,嘉定,嘉定-安亭,2室2厅,69.45㎡,共17层,南,174万,,2025-05-22
1986a87d037cc20e,上海派 3室2厅 87.51平米,嘉定,嘉定-安亭,3室2厅,87.51㎡,共17层,南,249万,,2025-05-17
1986a87d037cc20e,上海派 2室1厅 69.41平米,嘉定,嘉定-安亭,2室1厅,69.41㎡,共17层,南,176万,,2025-05-13
1986a87d037cc20e,上海派 3室2厅 88.44平米,嘉定,嘉定-安亭,3室2厅,88.44㎡,共17层,南,268万,,2025-05-05
1986a87d037cc20e,上海派 3室2厅 88平米,嘉定,嘉定-安亭,3室2厅,88㎡,共17层,南,265万,,2025-05-01
1986a87d037cc20e,上海派 2室2厅 69.48平米,嘉定,嘉定-安亭,2室2厅,69.48㎡,共17层,南,190万,,2025-04-23
1986a87d037cc20e,上海派 3室2厅 89.25平米,嘉定,嘉定-安亭,3室2厅,89.25㎡,共16层,南,257万,,2025-04-13
1986a87d037cc20e,上海派 27.34平米,嘉定,嘉定-安亭,,27.34㎡,,南,7万,,2025-04-11
1986a87d037cc20e,上海派 3室2厅 87.44平米,嘉定,嘉定-安亭,3室2厅,87.44㎡,共17层,南,240万,,2025-04-06
1986a87d037cc20e,上海派 3室2厅 80.07平米,嘉定,嘉定-安亭,3室2厅,80.07㎡,共16层,南,241万,,2025-04-06
1986a87d037cc20e,上海派 3室2厅 87.5平米,嘉定,嘉定-安亭,3室2厅,87.5㎡,共17层,南,259万,,2025-04-06
1986a87d037cc20e,上海派 3室2厅 89.25平米,嘉定,嘉定-安亭,3室2厅,89.25㎡,共16层,南,235万,,2025-03-29
1986a87d037cc20e,上海派 3室2厅 87.81平米,嘉定,嘉定-安亭,3室2厅,87.81㎡,共17层,南,235万,,2025-03-22
1986a87d037cc20e,上海派 2室2厅 69.54平米,嘉定,嘉定-安亭,2室2厅,69.54㎡,共17层,南,200万,,2025-03-20
1986a87d037cc20e,上海派 2室1厅 69.45平米,嘉定,嘉定-安亭,2室1厅,69.45㎡,共17层,南,185万,,2025-03-19
1986a87d037cc20e,上海派 3室2厅 87.45平米,嘉定,嘉定-安亭,3室2厅,87.45㎡,共16层,南,248万,,2025-03-16
f9c546c200282309,水岸秀苑 3室1厅 98.19平米,嘉定,嘉定-江桥,3室1厅,98.19㎡,共11层,南,343万,,2025-07-27
f9c546c200282309,水岸秀苑 2室2厅 75.63平米,嘉定,嘉定-江桥,2室2厅,75.63㎡,共5层,南,277万,,2025-07-13
f9c546c200282309,水岸秀苑 3室2厅 105.44平米,嘉定,嘉定-江桥,3室2厅,105.44㎡,共12层,南,380万,,2025-07-06
f9c546c200282309,水岸秀苑 2室2厅 83.95平米,嘉定,嘉定-江桥,2室2厅,83.95㎡,共4层,南,292万,,2025-06-15
f9c546c200282309,水岸秀苑 2室1厅 73.91平米,嘉定,嘉定-江桥,2室1厅,73.91㎡,共6层,南,248万,,2025-05-02
f9c546c200282309,水岸秀苑 2室2厅 74.09平米,嘉定,嘉定-江桥,2室2厅,74.09㎡,共4层,南,258万,,2025-04-06
f9c546c200282309,水岸秀苑 1室2厅 61.28平米,嘉定,嘉定-江桥,1室2厅,61.28㎡,共6层,南,204万,,2025-03-23
f9c546c200282309,水岸秀苑 2室1厅 73.99平米,嘉定,嘉定-江桥,2室1厅,73.99㎡,共5层,南,253万,,2025-02-23
f9c546c200282309,水岸秀苑 2室2厅 75.03平米,嘉定,嘉定-江桥,2室2厅,75.03㎡,共6层,南,277万,,2025-02-22
f9c546c200282309,水岸秀苑 2室2厅 87.81平米,嘉定,嘉定-江桥,2室2厅,87.81㎡,共5层,南,314万,,2025-02-11
f9c546c200282309,水岸秀苑 2室2厅 73.91平米,嘉定,嘉定-江桥,2室2厅,73.91㎡,共6层,南,272万,,2025-02-09
f9c546c200282309,水岸秀苑 1室2厅 58.88平米,嘉定,嘉定-江桥,1室2厅,58.88㎡,共11层,南,197万,,2025-01-04
f9c546c200282309,水岸秀苑 2室1厅 77.71平米,嘉定,嘉定-江桥,2室1厅,77.71㎡,共6层,南,287万,,2024-12-24
f9c546c200282309,水岸秀苑 2室2厅 74.46平米,嘉定,嘉定-江桥,2室2厅,74.46㎡,共6层,南,285万,,2024-12-10
f9c546c200282309,水岸秀苑 1室1厅 61.41平米,嘉定,嘉定-江桥,1室1厅,61.41㎡,共5层,南,210万,,2024-12-04
f9c546c200282309,水岸秀苑 2室2厅 73.91平米,嘉定,嘉定-江桥,2室2厅,73.91㎡,共6层,南,260万,,2024-12-04
f9c546c200282309,水岸秀苑 3室2厅 102.25平米,嘉定,嘉定-江桥,3室2厅,102.25㎡,共10层,南,385万,,2024-12-01
f9c546c200282309,水岸秀苑 1室2厅 54.22平米,嘉定,嘉定-江桥,1室2厅,54.22㎡,共5层,南,182万,,2024-11-30
f9c546c200282309,水岸秀苑 2室2厅 74.22平米,嘉定,嘉定-江桥,2室2厅,74.22㎡,共4层,南,264万,,2024-11-24
f9c546c200282309,水岸秀苑 3室2厅 108平米,嘉定,嘉定-江桥,3室2厅,108㎡,共4层,南,391万,,2024-11-04
f9c546c200282309,水岸秀苑 2室2厅 74.22平米,嘉定,嘉定-江桥,2室2厅,74.22㎡,共4层,南,263万,,2024-10-12
f9c546c200282309,水岸秀苑 2室2厅 73平米,嘉定,嘉定-江桥,2室2厅,73㎡,共5层,北,259万,,2024-10-08
f9c546c200282309,水岸秀苑 1室1厅 54.72平米,嘉定,嘉定-江桥,1室1厅,54.72㎡,共6层,南,190万,,2024-09-02
f9c546c200282309,水岸秀苑 3室2厅 97.97平米,嘉定,嘉定-江桥,3室2厅,97.97㎡,共11层,北,390万,,2024-08-18
f9c546c200282309,水岸秀苑 2室1厅 77.24平米,嘉定,嘉定-江桥,2室1厅,77.24㎡,共5层,南,327万,,2024-08-09
