house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
4a2b578d6455dcb2,聚缘中庭 2室1厅 77.21平米,闵行,闵行-浦江,2室1厅,77.21㎡,共14层,南北,46万,,2025-11-10
4a2b578d6455dcb2,聚缘中庭 1室1厅 56.32平米,闵行,闵行-浦江,1室1厅,56.32㎡,共14层,南,124万,,2025-07-13
4a2b578d6455dcb2,聚缘中庭 2室1厅 76.87平米,闵行,闵行-浦江,2室1厅,76.87㎡,共9层,南,170万,,2025-02-28
4a2b578d6455dcb2,聚缘中庭 1室1厅 56.74平米,闵行,闵行-浦江,1室1厅,56.74㎡,共14层,南,154万,,2025-01-05
4a2b578d6455dcb2,聚缘中庭 2室1厅 74.78平米,闵行,闵行-浦江,2室1厅,74.78㎡,共11层,南,187万,,2024-09-28
4a2b578d6455dcb2,聚缘中庭 3室2厅 95.4平米,闵行,闵行-浦江,3室2厅,95.4㎡,共14层,南,298万,,2024-08-21
4a2b578d6455dcb2,聚缘中庭 2室1厅 74.18平米,闵行,闵行-浦江,2室1厅,74.18㎡,共11层,南,225万,,2024-08-07
4a2b578d6455dcb2,聚缘中庭 2室1厅 75.49平米,闵行,闵行-浦江,2室1厅,75.49㎡,共14层,南,212万,,2024-08-02
4a2b578d6455dcb2,聚缘中庭 2室1厅 74.63平米,闵行,闵行-浦江,2室1厅,74.63㎡,共9层,南,226万,,2024-06-07
4a2b578d6455dcb2,聚缘中庭 3室1厅 95.4平米,闵行,闵行-浦江,3室1厅,95.4㎡,共14层,南,322万,,2024-03-05
4a2b578d6455dcb2,聚缘中庭 1室1厅 56.38平米,闵行,闵行-浦江,1室1厅,56.38㎡,共9层,南,172万,,2024-02-25
4a2b578d6455dcb2,聚缘中庭 1室1厅 56.38平米,闵行,闵行-浦江,1室1厅,56.38㎡,共9层,南,166万,,2024-01-26
4a2b578d6455dcb2,聚缘中庭 2室1厅 75.49平米,闵行,闵行-浦江,2室1厅,75.49㎡,共14层,南,260万,,2023-08-26
4a2b578d6455dcb2,聚缘中庭 2室1厅 77.21平米,闵行,闵行-浦江,2室1厅,77.21㎡,共14层,南,304万,,2023-04-03
4a2b578d6455dcb2,聚缘中庭 1室1厅 56.38平米,闵行,闵行-浦江,1室1厅,56.38㎡,共9层,南,214万,,2023-02-21
991154318ff97dd7,万乐城(商业类) 28.75平米,闵行,闵行-吴泾,,28.75㎡,共18层,南,56万,,2025-07-26
991154318ff97dd7,万乐城(商业类) 1室1厅 28.75平米,闵行,闵行-吴泾,1室1厅,28.75㎡,共18层,南,54万,,2025-07-26
991154318ff97dd7,万乐城(商业类) 2室1厅 44.74平米,闵行,闵行-吴泾,2室1厅,44.74㎡,共10层,南,118万,,2025-07-23
991154318ff97dd7,万乐城(商业类) 1室1厅 23平米,闵行,闵行-吴泾,1室1厅,23㎡,共18层,北,41万,,2025-07-10
991154318ff97dd7,万乐城(商业类) 21.79平米,闵行,闵行-吴泾,,21.79㎡,共19层,北,41万,,2025-06-30
991154318ff97dd7,万乐城(商业类) 1室1厅 22平米,闵行,闵行-吴泾,1室1厅,22㎡,共19层,北,40万,,2025-05-28
991154318ff97dd7,万乐城(商业类) 1室1厅 22平米,闵行,闵行-吴泾,1室1厅,22㎡,共19层,北,40万,,2025-05-20
991154318ff97dd7,万乐城(商业类) 1室1厅 21.79平米,闵行,闵行-吴泾,1室1厅,21.79㎡,共19层,北,43万,,2025-05-10
991154318ff97dd7,万乐城(商业类) 1室1厅 22.94平米,闵行,闵行-吴泾,1室1厅,22.94㎡,共18层,南,40万,,2025-04-21
991154318ff97dd7,万乐城(商业类) 27.22平米,闵行,闵行-吴泾,,27.22㎡,共19层,南,58万,,2025-04-07
991154318ff97dd7,万乐城(商业类) 27.23平米,闵行,闵行-吴泾,,27.23㎡,共19层,南,62万,,2025-03-17
991154318ff97dd7,万乐城(商业类) 27.22平米,闵行,闵行-吴泾,,27.22㎡,共19层,南,55万,,2025-03-16
991154318ff97dd7,万乐城(商业类) 1室1厅 28平米,闵行,闵行-吴泾,1室1厅,28㎡,共18层,南,60万,,2025-02-10
991154318ff97dd7,万乐城(商业类) 21.78平米,闵行,闵行-吴泾,,21.78㎡,共19层,北,41万,,2025-01-18
991154318ff97dd7,万乐城(商业类) 1室1厅 27.22平米,闵行,闵行-吴泾,1室1厅,27.22㎡,共19层,南,49万,,2025-01-17
991154318ff97dd7,万乐城(商业类) 27.23平米,闵行,闵行-吴泾,,27.23㎡,共19层,南,60万,,2025-01-11
991154318ff97dd7,万乐城(商业类) 1室1厅 21.78平米,闵行,闵行-吴泾,1室1厅,21.78㎡,共19层,北,39万,,2024-12-17
991154318ff97dd7,万乐城(商业类) 1室1厅 27.23平米,闵行,闵行-吴泾,1室1厅,27.23㎡,共19层,南,61万,,2024-12-04
991154318ff97dd7,万乐城(商业类) 22.9平米,闵行,闵行-吴泾,,22.9㎡,共18层,北,45万,,2024-12-03
991154318ff97dd7,万乐城(商业类) 1室1厅 27.8平米,闵行,闵行-吴泾,1室1厅,27.8㎡,共19层,南,56万,,2024-11-30
991154318ff97dd7,万乐城(商业类) 1室1厅 22.94平米,闵行,闵行-吴泾,1室1厅,22.94㎡,共18层,北,43万,,2024-10-09
991154318ff97dd7,万乐城(商业类) 21.79平米,闵行,闵行-吴泾,,21.79㎡,共19层,北,42万,,2024-08-21
991154318ff97dd7,万乐城(商业类) 2室1厅 56平米,闵行,闵行-吴泾,2室1厅,56㎡,共10层,南,142万,,2024-08-09
991154318ff97dd7,万乐城(商业类) 27.23平米,闵行,闵行-吴泾,,27.23㎡,共19层,南,56万,,2024-08-07
991154318ff97dd7,万乐城(商业类) 1室1厅 23平米,闵行,闵行-吴泾,1室1厅,23㎡,共18层,北,47万,,2024-07-18
991154318ff97dd7,万乐城(商业类) 22.94平米,闵行,闵行-吴泾,,22.94㎡,共18层,北,45万,,2024-07-12
991154318ff97dd7,万乐城(商业类) 22平米,闵行,闵行-吴泾,,22㎡,共19层,北,45万,,2024-06-15
991154318ff97dd7,万乐城(商业类) 22平米,闵行,闵行-吴泾,,22㎡,共19层,北,45万,,2024-06-13
991154318ff97dd7,万乐城(商业类) 27.29平米,闵行,闵行-吴泾,,27.29㎡,共19层,南,63万,,2024-05-28
991154318ff97dd7,万乐城(商业类) 1室1厅 28.75平米,闵行,闵行-吴泾,1室1厅,28.75㎡,共18层,南,64万,,2024-05-27
f371d0d6d248e82f,高兴花园二三四街坊 2室1厅 69.98平米,闵行,闵行-春申,2室1厅,69.98㎡,共6层,南北,238万,,2025-11-13
f371d0d6d248e82f,高兴花园二三四街坊 2室1厅 67.74平米,闵行,闵行-春申,2室1厅,67.74㎡,共6层,南,224万,,2025-11-11
f371d0d6d248e82f,高兴花园二三四街坊 2室1厅 69.29平米,闵行,闵行-春申,2室1厅,69.29㎡,共6层,南,236万,,2025-11-08
f371d0d6d248e82f,高兴花园二三四街坊 2室1厅 68.09平米,闵行,闵行-春申,2室1厅,68.09㎡,共6层,南,215万,,2025-11-05
f371d0d6d248e82f,高兴花园二三四街坊 1室1厅 47.71平米,闵行,闵行-春申,1室1厅,47.71㎡,共6层,南,219万,,2025-07-06
f371d0d6d248e82f,高兴花园二三四街坊 2室2厅 69.29平米,闵行,闵行-春申,2室2厅,69.29㎡,共6层,南,285万,,2025-07-02
f371d0d6d248e82f,高兴花园二三四街坊 2室1厅 67.14平米,闵行,闵行-春申,2室1厅,67.14㎡,共6层,东南,280万,,2025-06-29
f371d0d6d248e82f,高兴花园二三四街坊 1室1厅 41.97平米,闵行,闵行-春申,1室1厅,41.97㎡,共6层,南,221万,,2025-06-26
f371d0d6d248e82f,高兴花园二三四街坊 2室1厅 62.13平米,闵行,闵行-春申,2室1厅,62.13㎡,共6层,南,273万,,2025-06-14
f371d0d6d248e82f,高兴花园二三四街坊 1室1厅 47.69平米,闵行,闵行-春申,1室1厅,47.69㎡,共6层,南,225万,,2025-06-05
