house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
1792cb4f0509ddfd,德盈佳园 2室1厅 60.7平米,浦东,浦东-惠南,2室1厅,60.7㎡,共6层,东,81万,,2025-11-09
1792cb4f0509ddfd,德盈佳园 3室2厅 111.95平米,浦东,浦东-惠南,3室2厅,111.95㎡,共6层,东,125万,,2025-11-08
1792cb4f0509ddfd,德盈佳园 3室2厅 130.36平米,浦东,浦东-惠南,3室2厅,130.36㎡,共14层,东,182万,,2025-07-12
1792cb4f0509ddfd,德盈佳园 2室2厅 91.07平米,浦东,浦东-惠南,2室2厅,91.07㎡,共11层,东,156万,,2025-06-18
1792cb4f0509ddfd,德盈佳园 2室1厅 83平米,浦东,浦东-惠南,2室1厅,83㎡,共6层,东,128万,,2025-05-31
1792cb4f0509ddfd,德盈佳园 2室2厅 89.16平米,浦东,浦东-惠南,2室2厅,89.16㎡,共6层,东,128万,,2025-04-13
1792cb4f0509ddfd,德盈佳园 2室2厅 82.96平米,浦东,浦东-惠南,2室2厅,82.96㎡,共6层,东,129万,,2025-04-04
1792cb4f0509ddfd,德盈佳园 2室1厅 59.55平米,浦东,浦东-惠南,2室1厅,59.55㎡,共6层,东,94万,,2025-03-29
1792cb4f0509ddfd,德盈佳园 2室1厅 82.44平米,浦东,浦东-惠南,2室1厅,82.44㎡,共6层,东,127万,,2025-03-18
1792cb4f0509ddfd,德盈佳园 2室2厅 91.97平米,浦东,浦东-惠南,2室2厅,91.97㎡,共11层,东,150万,,2025-03-06
1792cb4f0509ddfd,德盈佳园 3室2厅 130.36平米,浦东,浦东-惠南,3室2厅,130.36㎡,共14层,东,193万,,2025-02-24
1792cb4f0509ddfd,德盈佳园 2室1厅 91.16平米,浦东,浦东-惠南,2室1厅,91.16㎡,共11层,东,150万,,2025-02-24
1792cb4f0509ddfd,德盈佳园 2室2厅 91.07平米,浦东,浦东-惠南,2室2厅,91.07㎡,共11层,东,137万,,2025-01-18
1792cb4f0509ddfd,德盈佳园 2室1厅 59.47平米,浦东,浦东-惠南,2室1厅,59.47㎡,共6层,东,98万,,2024-12-25
1792cb4f0509ddfd,德盈佳园 2室1厅 60.7平米,浦东,浦东-惠南,2室1厅,60.7㎡,共6层,东,98万,,2024-11-30
1792cb4f0509ddfd,德盈佳园 3室2厅 141.01平米,浦东,浦东-惠南,3室2厅,141.01㎡,共11层,东,240万,,2024-11-29
1792cb4f0509ddfd,德盈佳园 3室2厅 130.49平米,浦东,浦东-惠南,3室2厅,130.49㎡,共11层,东,207万,,2024-11-17
