house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
7c4152cad27df9b7,中山北路3924弄 2室1厅 52平米,普陀,普陀-武宁,2室1厅,52㎡,共7层,北,240万,,2025-06-09
7c4152cad27df9b7,中山北路3924弄 2室1厅 52.07平米,普陀,普陀-武宁,2室1厅,52.07㎡,共7层,北,232万,,2024-08-31
7c4152cad27df9b7,中山北路3924弄 46.41平米,普陀,普陀-武宁,,46.41㎡,共7层,北,212万,,2024-01-10
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 2室1厅 57.1平米,普陀,普陀-桃浦,2室1厅,57.1㎡,共7层,南,152万,,2025-06-21
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 3室1厅 80.7平米,普陀,普陀-桃浦,3室1厅,80.7㎡,共6层,南,279万,,2025-06-10
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 2室1厅 58.93平米,普陀,普陀-桃浦,2室1厅,58.93㎡,共6层,南,200万,,2025-06-05
01a375d63efd974d,桃浦十村（紫藤苑小区银杏路120弄） 2室1厅 55.11平米,普陀,普陀-桃浦,2室1厅,55.11㎡,共6层,南,176万,,2025-05-28
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 2室1厅 58.77平米,普陀,普陀-桃浦,2室1厅,58.77㎡,共7层,南,163万,,2025-05-18
01a375d63efd974d,桃浦十村（紫藤苑小区银杏路120弄） 2室1厅 55.1平米,普陀,普陀-桃浦,2室1厅,55.1㎡,共6层,南,192万,,2025-05-08
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 2室1厅 57.11平米,普陀,普陀-桃浦,2室1厅,57.11㎡,共6层,南,184万,,2025-05-01
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 2室1厅 51.72平米,普陀,普陀-桃浦,2室1厅,51.72㎡,共7层,南,183万,,2025-04-19
01a375d63efd974d,桃浦十村（紫藤苑小区银杏路120弄） 1室1厅 45.35平米,普陀,普陀-桃浦,1室1厅,45.35㎡,共6层,南,149万,,2025-04-13
01a375d63efd974d,桃浦十村（紫藤苑小区银杏路120弄） 33.07平米,普陀,普陀-桃浦,,33.07㎡,共6层,南,105万,,2025-04-10
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 2室1厅 50.24平米,普陀,普陀-桃浦,2室1厅,50.24㎡,共7层,南,177万,,2025-03-30
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 1室1厅 40.58平米,普陀,普陀-桃浦,1室1厅,40.58㎡,共6层,南,140万,,2025-03-23
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 2室1厅 54.1平米,普陀,普陀-桃浦,2室1厅,54.1㎡,共7层,南,176万,,2025-03-08
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 33.07平米,普陀,普陀-桃浦,,33.07㎡,共7层,南,118万,,2025-03-07
01a375d63efd974d,桃浦十村（紫藤苑小区白丽路701弄） 33.34平米,普陀,普陀-桃浦,,33.34㎡,共7层,南,114万,,2025-02-28
