house_id,title,district,district_area,layout,area,floor,direction,deal_price,deal_unit_price,deal_date
4cfa0c67efc6ee15,延吉四村 1室1厅 39.35平米,杨浦,杨浦-控江路,1室1厅,39.35㎡,共6层,南,40万,,2025-11-12
4cfa0c67efc6ee15,延吉四村 2室1厅 66.97平米,杨浦,杨浦-控江路,2室1厅,66.97㎡,共14层,南,281万,,2025-05-21
4cfa0c67efc6ee15,延吉四村 46.41平米,杨浦,杨浦-控江路,,46.41㎡,共14层,南,169万,,2025-05-12
4cfa0c67efc6ee15,延吉四村 31.15平米,杨浦,杨浦-控江路,,31.15㎡,共6层,南,135万,,2025-03-30
4cfa0c67efc6ee15,延吉四村 1室1厅 46.41平米,杨浦,杨浦-控江路,1室1厅,46.41㎡,共14层,南,198万,,2025-03-09
4cfa0c67efc6ee15,延吉四村 1室1厅 35.84平米,杨浦,杨浦-控江路,1室1厅,35.84㎡,共6层,南,141万,,2025-01-22
4cfa0c67efc6ee15,延吉四村 1室1厅 35.79平米,杨浦,杨浦-控江路,1室1厅,35.79㎡,共6层,南,150万,,2024-11-16
4cfa0c67efc6ee15,延吉四村 36.23平米,杨浦,杨浦-控江路,,36.23㎡,共6层,南,153万,,2024-10-27
4cfa0c67efc6ee15,延吉四村 2室1厅 50.01平米,杨浦,杨浦-控江路,2室1厅,50.01㎡,共6层,南,222万,,2024-09-27
4cfa0c67efc6ee15,延吉四村 2室1厅 47.93平米,杨浦,杨浦-控江路,2室1厅,47.93㎡,共6层,南,230万,,2024-09-15
4cfa0c67efc6ee15,延吉四村 2室1厅 34.35平米,杨浦,杨浦-控江路,2室1厅,34.35㎡,共6层,南,180万,,2024-06-03
4cfa0c67efc6ee15,延吉四村 2室1厅 53.8平米,杨浦,杨浦-控江路,2室1厅,53.8㎡,共6层,南,280万,,2024-06-01
4cfa0c67efc6ee15,延吉四村 1室1厅 46.41平米,杨浦,杨浦-控江路,1室1厅,46.41㎡,共14层,南,219万,,2024-04-30
4cfa0c67efc6ee15,延吉四村 2室1厅 50.22平米,杨浦,杨浦-控江路,2室1厅,50.22㎡,共6层,南,266万,,2024-02-28
4cfa0c67efc6ee15,延吉四村 2室1厅 46.46平米,杨浦,杨浦-控江路,2室1厅,46.46㎡,,西南,218万,,2024-01-01
4cfa0c67efc6ee15,延吉四村 30.81平米,杨浦,杨浦-控江路,,30.81㎡,共6层,西南,141万,,2023-12-04
4cfa0c67efc6ee15,延吉四村 1室1厅 39.48平米,杨浦,杨浦-控江路,1室1厅,39.48㎡,共6层,南,206万,,2023-11-05
4cfa0c67efc6ee15,延吉四村 2室1厅 54.08平米,杨浦,杨浦-控江路,2室1厅,54.08㎡,,南,319万,,2023-07-24
4cfa0c67efc6ee15,延吉四村 1室1厅 46.41平米,杨浦,杨浦-控江路,1室1厅,46.41㎡,,南,283万,,2023-05-25
4cfa0c67efc6ee15,延吉四村 2室1厅 49.94平米,杨浦,杨浦-控江路,2室1厅,49.94㎡,共6层,南,327万,,2023-05-09
4cfa0c67efc6ee15,延吉四村 1室1厅 34.69平米,杨浦,杨浦-控江路,1室1厅,34.69㎡,,南,225万,,2023-03-19
4cfa0c67efc6ee15,延吉四村 1室1厅 46.41平米,杨浦,杨浦-控江路,1室1厅,46.41㎡,共14层,南,250万,,2023-03-01
4cfa0c67efc6ee15,延吉四村 1室1厅 39.5平米,杨浦,杨浦-控江路,1室1厅,39.5㎡,共6层,南,279万,,2023-02-12
4cfa0c67efc6ee15,延吉四村 1室1厅 35.79平米,杨浦,杨浦-控江路,1室1厅,35.79㎡,,南,245万,,2023-02-12
4cfa0c67efc6ee15,延吉四村 86.63平米,杨浦,杨浦-控江路,,86.63㎡,共14层,南,590万,,2023-02-10
4cfa0c67efc6ee15,延吉四村 1室1厅 34.69平米,杨浦,杨浦-控江路,1室1厅,34.69㎡,,南,190万,,2023-01-03
a7d8d9c4040bcc2e,密云小区 1室1厅 25.48平米,杨浦,杨浦-鞍山,1室1厅,25.48㎡,共6层,北,200万,,2025-07-27
a7d8d9c4040bcc2e,密云小区 1室1厅 42.87平米,杨浦,杨浦-鞍山,1室1厅,42.87㎡,共6层,南,283万,,2025-07-20
a7d8d9c4040bcc2e,密云小区 2室1厅 66.2平米,杨浦,杨浦-鞍山,2室1厅,66.2㎡,共18层,北,310万,,2025-07-12
a7d8d9c4040bcc2e,密云小区 1室1厅 40.9平米,杨浦,杨浦-鞍山,1室1厅,40.9㎡,共6层,南,275万,,2025-06-28
a7d8d9c4040bcc2e,密云小区 56.41平米,杨浦,杨浦-鞍山,,56.41㎡,共6层,南,302万,,2025-06-28
a7d8d9c4040bcc2e,密云小区 27.45平米,杨浦,杨浦-鞍山,,27.45㎡,共6层,东,236万,,2025-06-14
a7d8d9c4040bcc2e,密云小区 2室1厅 55.61平米,杨浦,杨浦-鞍山,2室1厅,55.61㎡,共6层,南,341万,,2025-06-11
a7d8d9c4040bcc2e,密云小区 27.52平米,杨浦,杨浦-鞍山,,27.52㎡,共6层,西,217万,,2025-06-08
a7d8d9c4040bcc2e,密云小区 1室1厅 34.43平米,杨浦,杨浦-鞍山,1室1厅,34.43㎡,共6层,南,245万,,2025-05-18
a7d8d9c4040bcc2e,密云小区 28.24平米,杨浦,杨浦-鞍山,,28.24㎡,共6层,北,205万,,2025-05-16
a7d8d9c4040bcc2e,密云小区 1室1厅 28.46平米,杨浦,杨浦-鞍山,1室1厅,28.46㎡,共6层,北,220万,,2025-05-13
a7d8d9c4040bcc2e,密云小区 2室1厅 66.2平米,杨浦,杨浦-鞍山,2室1厅,66.2㎡,共18层,北,308万,,2025-05-10
a7d8d9c4040bcc2e,密云小区 28.48平米,杨浦,杨浦-鞍山,,28.48㎡,共6层,北,210万,,2025-04-08
a7d8d9c4040bcc2e,密云小区 1室1厅 32.02平米,杨浦,杨浦-鞍山,1室1厅,32.02㎡,共6层,南,236万,,2025-04-08
a7d8d9c4040bcc2e,密云小区 1室1厅 31.97平米,杨浦,杨浦-鞍山,1室1厅,31.97㎡,共6层,南,236万,,2025-04-04
a7d8d9c4040bcc2e,密云小区 45.07平米,杨浦,杨浦-鞍山,,45.07㎡,共18层,南,265万,,2025-03-23
a7d8d9c4040bcc2e,密云小区 1室1厅 37.02平米,杨浦,杨浦-鞍山,1室1厅,37.02㎡,共6层,南,271万,,2025-03-21
a7d8d9c4040bcc2e,密云小区 1室1厅 39.54平米,杨浦,杨浦-鞍山,1室1厅,39.54㎡,共6层,南,272万,,2025-03-21
a7d8d9c4040bcc2e,密云小区 1室1厅 42.1平米,杨浦,杨浦-鞍山,1室1厅,42.1㎡,共6层,南,289万,,2025-03-18
a7d8d9c4040bcc2e,密云小区 1室1厅 34.43平米,杨浦,杨浦-鞍山,1室1厅,34.43㎡,共6层,南,245万,,2025-03-16
a7d8d9c4040bcc2e,密云小区 45.07平米,杨浦,杨浦-鞍山,,45.07㎡,共18层,南,273万,,2025-03-15
a7d8d9c4040bcc2e,密云小区 1室1厅 42.1平米,杨浦,杨浦-鞍山,1室1厅,42.1㎡,共6层,南,245万,,2025-01-19
a7d8d9c4040bcc2e,密云小区 1室1厅 34.43平米,杨浦,杨浦-鞍山,1室1厅,34.43㎡,共6层,南,239万,,2025-01-12
a7d8d9c4040bcc2e,密云小区 1室1厅 32.4平米,杨浦,杨浦-鞍山,1室1厅,32.4㎡,共6层,南,225万,,2024-12-29
a7d8d9c4040bcc2e,密云小区 1室1厅 40.48平米,杨浦,杨浦-鞍山,1室1厅,40.48㎡,共6层,南,276万,,2024-12-15
a7d8d9c4040bcc2e,密云小区 29.43平米,杨浦,杨浦-鞍山,,29.43㎡,共6层,南,219万,,2024-12-13
a7d8d9c4040bcc2e,密云小区 1室1厅 28.46平米,杨浦,杨浦-鞍山,1室1厅,28.46㎡,共6层,北,210万,,2024-12-05
a7d8d9c4040bcc2e,密云小区 31.44平米,杨浦,杨浦-鞍山,,31.44㎡,共6层,南,251万,,2024-12-03
a7d8d9c4040bcc2e,密云小区 34.43平米,杨浦,杨浦-鞍山,,34.43㎡,共6层,南,224万,,2024-11-25
a7d8d9c4040bcc2e,密云小区 1室2厅 54.61平米,杨浦,杨浦-鞍山,1室2厅,54.61㎡,共18层,西,288万,,2024-11-10
a7d8d9c4040bcc2e,密云小区 1室1厅 37.02平米,杨浦,杨浦-鞍山,1室1厅,37.02㎡,共6层,南,290万,,2024-10-30
a7d8d9c4040bcc2e,密云小区 2室1厅 55.54平米,杨浦,杨浦-鞍山,2室1厅,55.54㎡,共6层,南,359万,,2024-10-14
c1e1845deccb7b4b,市光一村 2室1厅 58.77平米,杨浦,杨浦-中原,2室1厅,58.77㎡,共6层,南,236万,,2025-07-10
c1e1845deccb7b4b,市光一村 1室1厅 48.92平米,杨浦,杨浦-中原,1室1厅,48.92㎡,共6层,南,196万,,2025-07-07
c1e1845deccb7b4b,市光一村 1室1厅 41.92平米,杨浦,杨浦-中原,1室1厅,41.92㎡,共6层,南,165万,,2025-06-03
c1e1845deccb7b4b,市光一村 1室1厅 43.21平米,杨浦,杨浦-中原,1室1厅,43.21㎡,共6层,南,171万,,2025-05-16
c1e1845deccb7b4b,市光一村 1室1厅 49.04平米,杨浦,杨浦-中原,1室1厅,49.04㎡,共6层,南,200万,,2025-05-14
c1e1845deccb7b4b,市光一村 1室1厅 44.22平米,杨浦,杨浦-中原,1室1厅,44.22㎡,共6层,南,160万,,2025-04-27
